"","project_number","Country Name","Baseline Year","Long.op.name","objectives","Objective","outcomes","outcomes_indicators","outcomes_units","outcomes_means","reformulated","health","malaria","covid"
"1","AR-L1196","Argentina",2013,"AR-L1196 - MULTIPHASE PRIMARY HEALTH CARE PROGRAM FOR MANAGING CHRONIC NONCOMMUNICABLE DISE","+Contribuir a la reducción de la morbimortalidad por enfermedades crónicas no transmisibles en Argentina, con énfasis en la población con cobertura pública exclusiva","The objective of this second operation is to help reduce morbidity and mortality caused by chronic
noncommunicable diseases in Argentina, prioritizing the population with public coverage only. Specifically, this operation proposes to
help: (i) prioritize the primary care level as the gateway to the health care system; (ii) increase the population¿s access to screenings
for classification according to health risk; and (iii) increase access to timely treatment for those with moderate or high health risk suffering
from chronic conditions.","Incrementar el acceso efectivo de la población con cobertura pública exclusiva a servicios de tamizaje para la detección oportuna de enfermedades crónicas o del riesgo de contraerlas","Personas entre 40 y 65 años que reportan haber tenido al menos una medición de presión arterial en los últimos dos años sobre el total de personas del mismo grupo etario","Porcentaje","Informe de evaluación de impacto del Programa REDES","NO",TRUE,FALSE,FALSE
"8","AR-L1196","Argentina",2013,"AR-L1196 - MULTIPHASE PRIMARY HEALTH CARE PROGRAM FOR MANAGING CHRONIC NONCOMMUNICABLE DISE","+Contribuir a la reducción de la morbimortalidad por enfermedades crónicas no transmisibles en Argentina, con énfasis en la población con cobertura pública exclusiva","The objective of this second operation is to help reduce morbidity and mortality caused by chronic
noncommunicable diseases in Argentina, prioritizing the population with public coverage only. Specifically, this operation proposes to
help: (i) prioritize the primary care level as the gateway to the health care system; (ii) increase the population¿s access to screenings
for classification according to health risk; and (iii) increase access to timely treatment for those with moderate or high health risk suffering
from chronic conditions.","Incrementar el acceso efectivo de la población con cobertura pública exclusiva a servicios de tamizaje para la detección oportuna de enfermedades crónicas o del riesgo de contraerlas","Personas entre 40 y 65 años que alguna vez tuvieron una medición de glucemia sobre el total de personas del mismo grupo etario.","Porcentaje","Informe de evaluación de impacto del Programa REDES","NO",TRUE,FALSE,FALSE
"15","AR-L1196","Argentina",2015,"AR-L1196 - MULTIPHASE PRIMARY HEALTH CARE PROGRAM FOR MANAGING CHRONIC NONCOMMUNICABLE DISE","+Contribuir a la reducción de la morbimortalidad por enfermedades crónicas no transmisibles en Argentina, con énfasis en la población con cobertura pública exclusiva","The objective of this second operation is to help reduce morbidity and mortality caused by chronic
noncommunicable diseases in Argentina, prioritizing the population with public coverage only. Specifically, this operation proposes to
help: (i) prioritize the primary care level as the gateway to the health care system; (ii) increase the population¿s access to screenings
for classification according to health risk; and (iii) increase access to timely treatment for those with moderate or high health risk suffering
from chronic conditions.","Incrementar el acceso efectivo de la población con cobertura pública exclusiva a servicios de tamizaje para la detección oportuna de enfermedades crónicas o del riesgo de contraerlas","Personas a las que se realiza al menos un tamizaje para riesgo cardiovascular o cánceres de mama, cervicouterino y colorrectal en CAPS cubiertos por el programa","# of beneficiaries","Informes semestrales","NO",TRUE,FALSE,FALSE
"22","AR-L1196","Argentina",2015,"AR-L1196 - MULTIPHASE PRIMARY HEALTH CARE PROGRAM FOR MANAGING CHRONIC NONCOMMUNICABLE DISE","+Contribuir a la reducción de la morbimortalidad por enfermedades crónicas no transmisibles en Argentina, con énfasis en la población con cobertura pública exclusiva","The objective of this second operation is to help reduce morbidity and mortality caused by chronic
noncommunicable diseases in Argentina, prioritizing the population with public coverage only. Specifically, this operation proposes to
help: (i) prioritize the primary care level as the gateway to the health care system; (ii) increase the population¿s access to screenings
for classification according to health risk; and (iii) increase access to timely treatment for those with moderate or high health risk suffering
from chronic conditions.","Incrementar el acceso efectivo de la población con cobertura pública exclusiva a servicios de tamizaje para la detección oportuna de enfermedades crónicas o del riesgo de contraerlas","Mujeres entre 30 y 64 años con al menos un tamizaje de cáncer cervicouterino según guías de práctica clínica , sobre el total de mujeres del mismo rango etario","Porcentaje","Reportes del Sistema de Información de Tamizaje","NO",TRUE,FALSE,FALSE
"29","AR-L1196","Argentina",2015,"AR-L1196 - MULTIPHASE PRIMARY HEALTH CARE PROGRAM FOR MANAGING CHRONIC NONCOMMUNICABLE DISE","+Contribuir a la reducción de la morbimortalidad por enfermedades crónicas no transmisibles en Argentina, con énfasis en la población con cobertura pública exclusiva","The objective of this second operation is to help reduce morbidity and mortality caused by chronic
noncommunicable diseases in Argentina, prioritizing the population with public coverage only. Specifically, this operation proposes to
help: (i) prioritize the primary care level as the gateway to the health care system; (ii) increase the population¿s access to screenings
for classification according to health risk; and (iii) increase access to timely treatment for those with moderate or high health risk suffering
from chronic conditions.","Incrementar las competencias de los efectores del Primer Nivel de Atención para la detección oportuna o el tratamiento de enfermedades crónicas","Médicos del Primer Nivel de Atención que demuestran tener al menos 60% de los conocimientos en Terapéutica Racional de Medicamentos","Personas","Informe de evaluación de capacitaciones","NO",TRUE,FALSE,FALSE
"36","AR-L1196","Argentina",2015,"AR-L1196 - MULTIPHASE PRIMARY HEALTH CARE PROGRAM FOR MANAGING CHRONIC NONCOMMUNICABLE DISE","+Contribuir a la reducción de la morbimortalidad por enfermedades crónicas no transmisibles en Argentina, con énfasis en la población con cobertura pública exclusiva","The objective of this second operation is to help reduce morbidity and mortality caused by chronic
noncommunicable diseases in Argentina, prioritizing the population with public coverage only. Specifically, this operation proposes to
help: (i) prioritize the primary care level as the gateway to the health care system; (ii) increase the population¿s access to screenings
for classification according to health risk; and (iii) increase access to timely treatment for those with moderate or high health risk suffering
from chronic conditions.","Incrementar el acceso efectivo de la población con cobertura pública exclusiva a servicios de tamizaje para la detección oportuna de enfermedades crónicas o del riesgo de contraerlas","Mujeres entre 50 y 69 años con al menos una mamografía en los últimos 24 meses, sobre el total de mujeres del mismo grupo etario","Porcentaje","Reportes del Sistema de Información de Tamizaje","NO",TRUE,FALSE,FALSE
"43","AR-L1196","Argentina",2015,"AR-L1196 - MULTIPHASE PRIMARY HEALTH CARE PROGRAM FOR MANAGING CHRONIC NONCOMMUNICABLE DISE","+Contribuir a la reducción de la morbimortalidad por enfermedades crónicas no transmisibles en Argentina, con énfasis en la población con cobertura pública exclusiva","The objective of this second operation is to help reduce morbidity and mortality caused by chronic
noncommunicable diseases in Argentina, prioritizing the population with public coverage only. Specifically, this operation proposes to
help: (i) prioritize the primary care level as the gateway to the health care system; (ii) increase the population¿s access to screenings
for classification according to health risk; and (iii) increase access to timely treatment for those with moderate or high health risk suffering
from chronic conditions.","Incrementar las competencias de los efectores del Primer Nivel de Atención para la detección oportuna o el tratamiento de enfermedades crónicas","Agentes sanitarios que demuestran tener al menos 80% de los conocimientos en prevención y detección temprana de cáncer en el Primer Nivel de Atención","Personas","Informes de evaluación de capacitaciones","NO",TRUE,FALSE,FALSE
"50","AR-L1196","Argentina",2015,"AR-L1196 - MULTIPHASE PRIMARY HEALTH CARE PROGRAM FOR MANAGING CHRONIC NONCOMMUNICABLE DISE","+Contribuir a la reducción de la morbimortalidad por enfermedades crónicas no transmisibles en Argentina, con énfasis en la población con cobertura pública exclusiva","The objective of this second operation is to help reduce morbidity and mortality caused by chronic
noncommunicable diseases in Argentina, prioritizing the population with public coverage only. Specifically, this operation proposes to
help: (i) prioritize the primary care level as the gateway to the health care system; (ii) increase the population¿s access to screenings
for classification according to health risk; and (iii) increase access to timely treatment for those with moderate or high health risk suffering
from chronic conditions.","Incrementar el acceso efectivo de la población con cobertura pública exclusiva a servicios de tamizaje para la detección oportuna de enfermedades crónicas o del riesgo de contraerlas","Personas entre 50 y 75 años con al menos un tamizaje de cáncer colorrectal en los últimos dos años, sobre el total de personas del mismo rango etario en las provincias","Porcentaje","Reportes del Sistema de Información de Tamizaje","NO",TRUE,FALSE,FALSE
"57","AR-L1196","Argentina",2016,"AR-L1196 - MULTIPHASE PRIMARY HEALTH CARE PROGRAM FOR MANAGING CHRONIC NONCOMMUNICABLE DISE","+Contribuir a la reducción de la morbimortalidad por enfermedades crónicas no transmisibles en Argentina, con énfasis en la población con cobertura pública exclusiva","The objective of this second operation is to help reduce morbidity and mortality caused by chronic
noncommunicable diseases in Argentina, prioritizing the population with public coverage only. Specifically, this operation proposes to
help: (i) prioritize the primary care level as the gateway to the health care system; (ii) increase the population¿s access to screenings
for classification according to health risk; and (iii) increase access to timely treatment for those with moderate or high health risk suffering
from chronic conditions.","Incrementar las competencias de los efectores del Primer Nivel de Atención para la detección oportuna o el tratamiento de enfermedades crónicas","Personal del Primer Nivel de Atención que demuestra tener al menos 80% de los conocimientos en estrategias de mejora de los cuidados de salud","Personas","Informe de evaluación de capacitaciones","NO",TRUE,FALSE,FALSE
"64","AR-L1196","Argentina",2016,"AR-L1196 - MULTIPHASE PRIMARY HEALTH CARE PROGRAM FOR MANAGING CHRONIC NONCOMMUNICABLE DISE","+Contribuir a la reducción de la morbimortalidad por enfermedades crónicas no transmisibles en Argentina, con énfasis en la población con cobertura pública exclusiva","The objective of this second operation is to help reduce morbidity and mortality caused by chronic
noncommunicable diseases in Argentina, prioritizing the population with public coverage only. Specifically, this operation proposes to
help: (i) prioritize the primary care level as the gateway to the health care system; (ii) increase the population¿s access to screenings
for classification according to health risk; and (iii) increase access to timely treatment for those with moderate or high health risk suffering
from chronic conditions.","Incrementar el acceso efectivo de la población con cobertura pública exclusiva a servicios de tamizaje para la detección oportuna de enfermedades crónicas o del riesgo de contraerlas","Porcentaje de personas mayores de 40 años con CPE con RCGV mayor de 10, que efectuaron consultas de seguimiento en el último año","Porcentaje","Sistema de Información Sanitario Argentino (SISA)","NO",TRUE,FALSE,FALSE
"71","AR-L1196","Argentina",2018,"AR-L1196 - MULTIPHASE PRIMARY HEALTH CARE PROGRAM FOR MANAGING CHRONIC NONCOMMUNICABLE DISE","+Contribuir a la reducción de la morbimortalidad por enfermedades crónicas no transmisibles en Argentina, con énfasis en la población con cobertura pública exclusiva","The objective of this second operation is to help reduce morbidity and mortality caused by chronic
noncommunicable diseases in Argentina, prioritizing the population with public coverage only. Specifically, this operation proposes to
help: (i) prioritize the primary care level as the gateway to the health care system; (ii) increase the population¿s access to screenings
for classification according to health risk; and (iii) increase access to timely treatment for those with moderate or high health risk suffering
from chronic conditions.","Incrementar el acceso efectivo de la población con cobertura pública exclusiva a servicios de tamizaje para la detección oportuna de enfermedades crónicas o del riesgo de contraerlas","Porcentaje de las consultas en el Primer Nivel de Atención que requieren una prescripción medicamentosa que se obtiene a través de REMEDIAR.","Porcentaje","Sistema Integrado de reportes de logística y medicamentos, REMEDIAR.","NO",TRUE,FALSE,FALSE
"78","AR-L1196","Argentina",2020,"AR-L1196 - MULTIPHASE PRIMARY HEALTH CARE PROGRAM FOR MANAGING CHRONIC NONCOMMUNICABLE DISE","+Contribuir a la reducción de la morbimortalidad por enfermedades crónicas no transmisibles en Argentina, con énfasis en la población con cobertura pública exclusiva","The objective of this second operation is to help reduce morbidity and mortality caused by chronic
noncommunicable diseases in Argentina, prioritizing the population with public coverage only. Specifically, this operation proposes to
help: (i) prioritize the primary care level as the gateway to the health care system; (ii) increase the population¿s access to screenings
for classification according to health risk; and (iii) increase access to timely treatment for those with moderate or high health risk suffering
from chronic conditions.","Incrementar el acceso efectivo de la población con cobertura pública exclusiva a servicios de tamizaje para la detección oportuna de enfermedades crónicas o del riesgo de contraerlas","Plan de implementación de una vacuna contra la COVID-19 elaborado o fortalecido","Plan","Fuente de la información: Ministerio de Salud","NO",TRUE,FALSE,FALSE
"394","BO-L1067","Bolivia",2010,"BO-L1067 - Strengthening of Integrated Health Networks in the Department of Potosi","+Mortalidad materno infantil en el Departamento de Potosi reducida","The objective of the program is to contribute to an improvement of the maternal and infant health status of the bolivian population, by strengthening the public health networks through an increased resolutive capacity of secondary care under the approach of the new model of Family Community and Intercultural Health.","Acceso a servicios de salud de calidad en el Departamento de Potosi mejorado","Mujeres con complicación obstétrica atendidas en Hospital","Porcentaje","Registros hospitalarios","NO",TRUE,FALSE,FALSE
"398","BO-L1067","Bolivia",2010,"BO-L1067 - Strengthening of Integrated Health Networks in the Department of Potosi","+Mortalidad materno infantil en el Departamento de Potosi reducida","The objective of the program is to contribute to an improvement of the maternal and infant health status of the bolivian population, by strengthening the public health networks through an increased resolutive capacity of secondary care under the approach of the new model of Family Community and Intercultural Health.","Acceso a servicios de salud de calidad en el Departamento de Potosi mejorado","Cobertura de Parto Institucional","Porcentaje","SNIS Departamental (Potosí)","NO",TRUE,FALSE,FALSE
"402","BO-L1067","Bolivia",2011,"BO-L1067 - Strengthening of Integrated Health Networks in the Department of Potosi","+Mortalidad materno infantil en el Departamento de Potosi reducida","The objective of the program is to contribute to an improvement of the maternal and infant health status of the bolivian population, by strengthening the public health networks through an increased resolutive capacity of secondary care under the approach of the new model of Family Community and Intercultural Health.","Acceso a servicios de salud de calidad en el Departamento de Potosi mejorado","Establecimientos de Salud que cumplan con las normas de caracterización del Ministerio de Salud y Deportes en cuanto a infraestructura, equipo y Recursos Humanos","Número","Informes de Servicio Departamental de Salud, al final del proyecto se puede verificar con el Estudio de Brechas","NO",TRUE,FALSE,FALSE
"406","BO-L1067","Bolivia",2011,"BO-L1067 - Strengthening of Integrated Health Networks in the Department of Potosi","+Mortalidad materno infantil en el Departamento de Potosi reducida","The objective of the program is to contribute to an improvement of the maternal and infant health status of the bolivian population, by strengthening the public health networks through an increased resolutive capacity of secondary care under the approach of the new model of Family Community and Intercultural Health.","Acceso a servicios de salud de calidad en el Departamento de Potosi mejorado","Disponibilidad de mantenimiento de equipos médicos y no médicos por nivel de establecimientos de salud","Porcentaje","Informes específicos del proyecto.","NO",TRUE,FALSE,FALSE
"410","BO-L1067","Bolivia",2011,"BO-L1067 - Strengthening of Integrated Health Networks in the Department of Potosi","+Mortalidad materno infantil en el Departamento de Potosi reducida","The objective of the program is to contribute to an improvement of the maternal and infant health status of the bolivian population, by strengthening the public health networks through an increased resolutive capacity of secondary care under the approach of the new model of Family Community and Intercultural Health.","Acceso a servicios de salud de calidad en el Departamento de Potosi mejorado","Recursos Humanos con capacitación CONE por tipo de establecimiento de salud","Personas","Informe específico del proyecto.","NO",TRUE,FALSE,FALSE
"414","BO-L1067","Bolivia",2013,"BO-L1067 - Strengthening of Integrated Health Networks in the Department of Potosi","+Mortalidad materno infantil en el Departamento de Potosi reducida","The objective of the program is to contribute to an improvement of the maternal and infant health status of the bolivian population, by strengthening the public health networks through an increased resolutive capacity of secondary care under the approach of the new model of Family Community and Intercultural Health.","Acceso a servicios de salud de calidad en el Departamento de Potosi mejorado","Personas Atendidas por un paquete básico de servicios de salud, que incluye parto institucional (madre y niño)","# of beneficiaries","Registro del Bono Juana Azurduy","NO",TRUE,FALSE,FALSE
