"","project_number","outcomes","Country Name","Baseline Year","Long.op.name","objectives","Objective","outcomes_indicators","outcomes_units","outcomes_means","health","malaria","covid","outcomes_revised","old_outcome","verbs","direct_object","indirect_object"
"1","AR-L1196","Incrementar el acceso efectivo de la población con cobertura pública exclusiva a servicios de tamizaje para la detección oportuna de enfermedades crónicas o del riesgo de contraerlas","Argentina",2016,"AR-L1196 - MULTIPHASE PRIMARY HEALTH CARE PROGRAM FOR MANAGING CHRONIC NONCOMMUNICABLE DISE","+Contribuir a la reducción de la morbimortalidad por enfermedades crónicas no transmisibles en Argentina, con énfasis en la población con cobertura pública exclusiva","The objective of this second operation is to help reduce morbidity and mortality caused by chronic
noncommunicable diseases in Argentina, prioritizing the population with public coverage only. Specifically, this operation proposes to
help: (i) prioritize the primary care level as the gateway to the health care system; (ii) increase the population¿s access to screenings
for classification according to health risk; and (iii) increase access to timely treatment for those with moderate or high health risk suffering
from chronic conditions.","Porcentaje de personas mayores de 40 años con CPE con RCGV mayor de 10, que efectuaron consultas de seguimiento en el último año","Porcentaje","Sistema de Información Sanitario Argentino (SISA)",TRUE,FALSE,FALSE,"Incrementar el acceso efectivo de la población con cobertura pública exclusiva a servicios de tamizaje para la detección oportuna de enfermedades crónicas o del riesgo de contraerlas",1,"incrementar","acceso efectivo","enfermedades crónicas"
"2","AR-L1196","Incrementar el acceso efectivo de la población con cobertura pública exclusiva a servicios de tamizaje para la detección oportuna de enfermedades crónicas o del riesgo de contraerlas","Argentina",2015,"AR-L1196 - MULTIPHASE PRIMARY HEALTH CARE PROGRAM FOR MANAGING CHRONIC NONCOMMUNICABLE DISE","+Contribuir a la reducción de la morbimortalidad por enfermedades crónicas no transmisibles en Argentina, con énfasis en la población con cobertura pública exclusiva","The objective of this second operation is to help reduce morbidity and mortality caused by chronic
noncommunicable diseases in Argentina, prioritizing the population with public coverage only. Specifically, this operation proposes to
help: (i) prioritize the primary care level as the gateway to the health care system; (ii) increase the population¿s access to screenings
for classification according to health risk; and (iii) increase access to timely treatment for those with moderate or high health risk suffering
from chronic conditions.","Personas a las que se realiza al menos un tamizaje para riesgo cardiovascular o cánceres de mama, cervicouterino y colorrectal en CAPS cubiertos por el programa","# of beneficiaries","Informes semestrales",TRUE,FALSE,FALSE,"Incrementar el acceso efectivo de la población con cobertura pública exclusiva a servicios de tamizaje para la detección oportuna de enfermedades crónicas o del riesgo de contraerlas",1,"incrementar","acceso efectivo","enfermedades crónicas"
"3","AR-L1196","Incrementar el acceso efectivo de la población con cobertura pública exclusiva a servicios de tamizaje para la detección oportuna de enfermedades crónicas o del riesgo de contraerlas","Argentina",2013,"AR-L1196 - MULTIPHASE PRIMARY HEALTH CARE PROGRAM FOR MANAGING CHRONIC NONCOMMUNICABLE DISE","+Contribuir a la reducción de la morbimortalidad por enfermedades crónicas no transmisibles en Argentina, con énfasis en la población con cobertura pública exclusiva","The objective of this second operation is to help reduce morbidity and mortality caused by chronic
noncommunicable diseases in Argentina, prioritizing the population with public coverage only. Specifically, this operation proposes to
help: (i) prioritize the primary care level as the gateway to the health care system; (ii) increase the population¿s access to screenings
for classification according to health risk; and (iii) increase access to timely treatment for those with moderate or high health risk suffering
from chronic conditions.","Personas entre 40 y 65 años que reportan haber tenido al menos una medición de presión arterial en los últimos dos años sobre el total de personas del mismo grupo etario","Porcentaje","Informe de evaluación de impacto del Programa REDES",TRUE,FALSE,FALSE,"Incrementar el acceso efectivo de la población con cobertura pública exclusiva a servicios de tamizaje para la detección oportuna de enfermedades crónicas o del riesgo de contraerlas",1,"incrementar","acceso efectivo","enfermedades crónicas"
"4","AR-L1196","Incrementar el acceso efectivo de la población con cobertura pública exclusiva a servicios de tamizaje para la detección oportuna de enfermedades crónicas o del riesgo de contraerlas","Argentina",2015,"AR-L1196 - MULTIPHASE PRIMARY HEALTH CARE PROGRAM FOR MANAGING CHRONIC NONCOMMUNICABLE DISE","+Contribuir a la reducción de la morbimortalidad por enfermedades crónicas no transmisibles en Argentina, con énfasis en la población con cobertura pública exclusiva","The objective of this second operation is to help reduce morbidity and mortality caused by chronic
noncommunicable diseases in Argentina, prioritizing the population with public coverage only. Specifically, this operation proposes to
help: (i) prioritize the primary care level as the gateway to the health care system; (ii) increase the population¿s access to screenings
for classification according to health risk; and (iii) increase access to timely treatment for those with moderate or high health risk suffering
from chronic conditions.","Mujeres entre 50 y 69 años con al menos una mamografía en los últimos 24 meses, sobre el total de mujeres del mismo grupo etario","Porcentaje","Reportes del Sistema de Información de Tamizaje",TRUE,FALSE,FALSE,"Incrementar el acceso efectivo de la población con cobertura pública exclusiva a servicios de tamizaje para la detección oportuna de enfermedades crónicas o del riesgo de contraerlas",1,"incrementar","acceso efectivo","enfermedades crónicas"
"5","AR-L1196","Incrementar el acceso efectivo de la población con cobertura pública exclusiva a servicios de tamizaje para la detección oportuna de enfermedades crónicas o del riesgo de contraerlas","Argentina",2018,"AR-L1196 - MULTIPHASE PRIMARY HEALTH CARE PROGRAM FOR MANAGING CHRONIC NONCOMMUNICABLE DISE","+Contribuir a la reducción de la morbimortalidad por enfermedades crónicas no transmisibles en Argentina, con énfasis en la población con cobertura pública exclusiva","The objective of this second operation is to help reduce morbidity and mortality caused by chronic
noncommunicable diseases in Argentina, prioritizing the population with public coverage only. Specifically, this operation proposes to
help: (i) prioritize the primary care level as the gateway to the health care system; (ii) increase the population¿s access to screenings
for classification according to health risk; and (iii) increase access to timely treatment for those with moderate or high health risk suffering
from chronic conditions.","Porcentaje de las consultas en el Primer Nivel de Atención que requieren una prescripción medicamentosa que se obtiene a través de REMEDIAR.","Porcentaje","Sistema Integrado de reportes de logística y medicamentos, REMEDIAR.",TRUE,FALSE,FALSE,"Incrementar el acceso efectivo de la población con cobertura pública exclusiva a servicios de tamizaje para la detección oportuna de enfermedades crónicas o del riesgo de contraerlas",1,"incrementar","acceso efectivo","enfermedades crónicas"
"6","AR-L1196","Incrementar el acceso efectivo de la población con cobertura pública exclusiva a servicios de tamizaje para la detección oportuna de enfermedades crónicas o del riesgo de contraerlas","Argentina",2015,"AR-L1196 - MULTIPHASE PRIMARY HEALTH CARE PROGRAM FOR MANAGING CHRONIC NONCOMMUNICABLE DISE","+Contribuir a la reducción de la morbimortalidad por enfermedades crónicas no transmisibles en Argentina, con énfasis en la población con cobertura pública exclusiva","The objective of this second operation is to help reduce morbidity and mortality caused by chronic
noncommunicable diseases in Argentina, prioritizing the population with public coverage only. Specifically, this operation proposes to
help: (i) prioritize the primary care level as the gateway to the health care system; (ii) increase the population¿s access to screenings
for classification according to health risk; and (iii) increase access to timely treatment for those with moderate or high health risk suffering
from chronic conditions.","Mujeres entre 30 y 64 años con al menos un tamizaje de cáncer cervicouterino según guías de práctica clínica , sobre el total de mujeres del mismo rango etario","Porcentaje","Reportes del Sistema de Información de Tamizaje",TRUE,FALSE,FALSE,"Incrementar el acceso efectivo de la población con cobertura pública exclusiva a servicios de tamizaje para la detección oportuna de enfermedades crónicas o del riesgo de contraerlas",1,"incrementar","acceso efectivo","enfermedades crónicas"
"7","AR-L1196","Incrementar el acceso efectivo de la población con cobertura pública exclusiva a servicios de tamizaje para la detección oportuna de enfermedades crónicas o del riesgo de contraerlas","Argentina",2015,"AR-L1196 - MULTIPHASE PRIMARY HEALTH CARE PROGRAM FOR MANAGING CHRONIC NONCOMMUNICABLE DISE","+Contribuir a la reducción de la morbimortalidad por enfermedades crónicas no transmisibles en Argentina, con énfasis en la población con cobertura pública exclusiva","The objective of this second operation is to help reduce morbidity and mortality caused by chronic
noncommunicable diseases in Argentina, prioritizing the population with public coverage only. Specifically, this operation proposes to
help: (i) prioritize the primary care level as the gateway to the health care system; (ii) increase the population¿s access to screenings
for classification according to health risk; and (iii) increase access to timely treatment for those with moderate or high health risk suffering
from chronic conditions.","Personas entre 50 y 75 años con al menos un tamizaje de cáncer colorrectal en los últimos dos años, sobre el total de personas del mismo rango etario en las provincias","Porcentaje","Reportes del Sistema de Información de Tamizaje",TRUE,FALSE,FALSE,"Incrementar el acceso efectivo de la población con cobertura pública exclusiva a servicios de tamizaje para la detección oportuna de enfermedades crónicas o del riesgo de contraerlas",1,"incrementar","acceso efectivo","enfermedades crónicas"
"8","AR-L1196","Incrementar el acceso efectivo de la población con cobertura pública exclusiva a servicios de tamizaje para la detección oportuna de enfermedades crónicas o del riesgo de contraerlas","Argentina",2013,"AR-L1196 - MULTIPHASE PRIMARY HEALTH CARE PROGRAM FOR MANAGING CHRONIC NONCOMMUNICABLE DISE","+Contribuir a la reducción de la morbimortalidad por enfermedades crónicas no transmisibles en Argentina, con énfasis en la población con cobertura pública exclusiva","The objective of this second operation is to help reduce morbidity and mortality caused by chronic
noncommunicable diseases in Argentina, prioritizing the population with public coverage only. Specifically, this operation proposes to
help: (i) prioritize the primary care level as the gateway to the health care system; (ii) increase the population¿s access to screenings
for classification according to health risk; and (iii) increase access to timely treatment for those with moderate or high health risk suffering
from chronic conditions.","Personas entre 40 y 65 años que alguna vez tuvieron una medición de glucemia sobre el total de personas del mismo grupo etario.","Porcentaje","Informe de evaluación de impacto del Programa REDES",TRUE,FALSE,FALSE,"Incrementar el acceso efectivo de la población con cobertura pública exclusiva a servicios de tamizaje para la detección oportuna de enfermedades crónicas o del riesgo de contraerlas",1,"incrementar","acceso efectivo","enfermedades crónicas"
"9","AR-L1196","Incrementar el acceso efectivo de la población con cobertura pública exclusiva a servicios de tamizaje para la detección oportuna de enfermedades crónicas o del riesgo de contraerlas","Argentina",2020,"AR-L1196 - MULTIPHASE PRIMARY HEALTH CARE PROGRAM FOR MANAGING CHRONIC NONCOMMUNICABLE DISE","+Contribuir a la reducción de la morbimortalidad por enfermedades crónicas no transmisibles en Argentina, con énfasis en la población con cobertura pública exclusiva","The objective of this second operation is to help reduce morbidity and mortality caused by chronic
noncommunicable diseases in Argentina, prioritizing the population with public coverage only. Specifically, this operation proposes to
help: (i) prioritize the primary care level as the gateway to the health care system; (ii) increase the population¿s access to screenings
for classification according to health risk; and (iii) increase access to timely treatment for those with moderate or high health risk suffering
from chronic conditions.","Plan de implementación de una vacuna contra la COVID-19 elaborado o fortalecido","Plan","Fuente de la información: Ministerio de Salud",TRUE,FALSE,FALSE,"Incrementar el acceso efectivo de la población con cobertura pública exclusiva a servicios de tamizaje para la detección oportuna de enfermedades crónicas o del riesgo de contraerlas",1,"incrementar","acceso efectivo","enfermedades crónicas"
"10","AR-L1196","Incrementar las competencias de los efectores del Primer Nivel de Atención para la detección oportuna o el tratamiento de enfermedades crónicas","Argentina",2015,"AR-L1196 - MULTIPHASE PRIMARY HEALTH CARE PROGRAM FOR MANAGING CHRONIC NONCOMMUNICABLE DISE","+Contribuir a la reducción de la morbimortalidad por enfermedades crónicas no transmisibles en Argentina, con énfasis en la población con cobertura pública exclusiva","The objective of this second operation is to help reduce morbidity and mortality caused by chronic
noncommunicable diseases in Argentina, prioritizing the population with public coverage only. Specifically, this operation proposes to
help: (i) prioritize the primary care level as the gateway to the health care system; (ii) increase the population¿s access to screenings
for classification according to health risk; and (iii) increase access to timely treatment for those with moderate or high health risk suffering
from chronic conditions.","Médicos del Primer Nivel de Atención que demuestran tener al menos 60% de los conocimientos en Terapéutica Racional de Medicamentos","Personas","Informe de evaluación de capacitaciones",TRUE,FALSE,FALSE,"Incrementar las competencias de los efectores del Primer Nivel de Atención para el tratamiento de enfermedades crónicas",0,"incrementar","competencias","enfermedades crónicas"
