"","Project Number","Baseline Year","Cycle ID","Operation Name","Operation Type","Lending Instrument","Operation Number","Country Name","Objective","min.cycle","objectives","objectives_indicators","objectives_units","Means of Verification","Long.op.name","objectives_indicators_units","health_gind","malaria_gind","covid_gind","calidad_gind","acceso_gind","morbilidad_gind","eficiencia_gind","equidad_gind"
"1","AR-L1142",2007,22,"Multiphase Primary Health Care Program for Managing Chronic Non-communicable Dis","Loan Operation","Investment Loan","2788/OC-AR","Argentina","To increase the effectiveness of the National Government¿s programs geared at reducing the prevalence and improving the management of non-transmissible chronic diseases, based on the Strategy to Strengthen the First Level of Care and the consolidation of health services networks.",22,"+Disminución de tasa de mortalidad por eventos cardio y cerebrovasculares","Tasa de Mortalidad ajustada por edad por eventos cardiovasculares","tasa","Informes de la Dirección de Estadísticas e Información en Salud","AR-L1142 - Multiphase Primary Health Care Program for Managing Chronic Non-communicable Dis","+ Tasa de Mortalidad ajustada por edad por eventos cardiovasculares - tasa",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"4","AR-L1326",2019,34,"Immediate Public Health Response Project en the context of the COVID-19 Pandemic to contain, control and mitigate its effect in health service provision in Argentina","Loan Operation","Investment Loan","5032/OC-AR","Argentina","The overall objective of this project is to help reduce morbidity and mortality from COVID-19 and mitigate the other indirect health effects of the pandemic. The project will have four specific objectives: (i) Strengthen the response response at the country level; (ii) Improve the detection and monitoring of cases; (iii) Support efforts to interrupt the chain of transmission of the disease; and (iv) Improve the capacity to provide services.",34,"+Reducción de la morbilidad y mortalidad por COVID-19","Muertes por COVID-19","Número","Sistema Nacional de Vigilancia Sanitaria","AR-L1326 - Immediate Public Health Response Project en the context of the COVID-19 Pandemic to contain, control and mitigate its effect in health service provision in Argentina","+ Muertes por COVID-19 - Número",TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
"5","AR-L1326",2019,34,"Immediate Public Health Response Project en the context of the COVID-19 Pandemic to contain, control and mitigate its effect in health service provision in Argentina","Loan Operation","Investment Loan","5032/OC-AR","Argentina","The overall objective of this project is to help reduce morbidity and mortality from COVID-19 and mitigate the other indirect health effects of the pandemic. The project will have four specific objectives: (i) Strengthen the response response at the country level; (ii) Improve the detection and monitoring of cases; (iii) Support efforts to interrupt the chain of transmission of the disease; and (iv) Improve the capacity to provide services.",34,"+Reducción de la morbilidad y mortalidad por COVID-19","Casos confirmados de COVID-19","Número","Sistema Nacional de Vigilancia Sanitaria","AR-L1326 - Immediate Public Health Response Project en the context of the COVID-19 Pandemic to contain, control and mitigate its effect in health service provision in Argentina","+ Casos confirmados de COVID-19 - Número",TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
"6","AR-L1326",2019,34,"Immediate Public Health Response Project en the context of the COVID-19 Pandemic to contain, control and mitigate its effect in health service provision in Argentina","Loan Operation","Investment Loan","5032/OC-AR","Argentina","The overall objective of this project is to help reduce morbidity and mortality from COVID-19 and mitigate the other indirect health effects of the pandemic. The project will have four specific objectives: (i) Strengthen the response response at the country level; (ii) Improve the detection and monitoring of cases; (iii) Support efforts to interrupt the chain of transmission of the disease; and (iv) Improve the capacity to provide services.",34,"+Efectos indirectos de la pandemia sobre la salud mitigados","Porcentaje de personas con cobertura efectiva de salud dentro de la población con cobertura pública exclusiva en salud","Porcentaje","Registros de Programa SUMAR, REDES, Documento de población elegible SUMAR","AR-L1326 - Immediate Public Health Response Project en the context of the COVID-19 Pandemic to contain, control and mitigate its effect in health service provision in Argentina","+ Porcentaje de personas con cobertura efectiva de salud dentro de la población con cobertura pública exclusiva en salud - Porcentaje",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"7","AR-L1326",2022,34,"Immediate Public Health Response Project en the context of the COVID-19 Pandemic to contain, control and mitigate its effect in health service provision in Argentina","Loan Operation","Investment Loan","5032/OC-AR","Argentina","The overall objective of this project is to help reduce morbidity and mortality from COVID-19 and mitigate the other indirect health effects of the pandemic. The project will have four specific objectives: (i) Strengthen the response response at the country level; (ii) Improve the detection and monitoring of cases; (iii) Support efforts to interrupt the chain of transmission of the disease; and (iv) Improve the capacity to provide services.",34,"+Reducción de la morbilidad y mortalidad por COVID-19","Muertes por COVID-19","Número","Sistema Nacional de Vigilancia Sanitaria","AR-L1326 - Immediate Public Health Response Project en the context of the COVID-19 Pandemic to contain, control and mitigate its effect in health service provision in Argentina","+ Muertes por COVID-19 - Número",TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
"8","AR-L1326",2022,34,"Immediate Public Health Response Project en the context of the COVID-19 Pandemic to contain, control and mitigate its effect in health service provision in Argentina","Loan Operation","Investment Loan","5032/OC-AR","Argentina","The overall objective of this project is to help reduce morbidity and mortality from COVID-19 and mitigate the other indirect health effects of the pandemic. The project will have four specific objectives: (i) Strengthen the response response at the country level; (ii) Improve the detection and monitoring of cases; (iii) Support efforts to interrupt the chain of transmission of the disease; and (iv) Improve the capacity to provide services.",34,"+Reducción de la morbilidad y mortalidad por COVID-19","Casos confirmados de COVID-19","Número","Sistema Nacional de Vigilancia Sanitaria","AR-L1326 - Immediate Public Health Response Project en the context of the COVID-19 Pandemic to contain, control and mitigate its effect in health service provision in Argentina","+ Casos confirmados de COVID-19 - Número",TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
"9","AR-L1340",2020,38,"Program for Strengthening and Integration of Health Networks in the Province of Buenos Aires - PROFIR II","Loan Operation","Investment Loan","5430/OC-AR","Argentina","The objective of the second individual loan operation under the CCLIP is to improve the accessibility and the effective coverage of the public health services for the population of the PBA. The specific development objectives are: (i) improve the accessibility and effectiveness of public health services at the primary care level; (ii) improve the effectiveness and integration of health services networks; and (iii) expand the provisioning capacity for the prevention, detection and care of COVID-19.",38,"+Mejorar la accesibilidad y la cobertura efectiva de los servicios públicos de salud para la población de la PBA","Porcentaje de personas con cobertura efectiva básica en los 52 municipios del interior de la provincia","% de personas","Informe del Programa SUMAR","AR-L1340 - Program for Strengthening and Integration of Health Networks in the Province of Buenos Aires - PROFIR II","+ Porcentaje de personas con cobertura efectiva básica en los 52 municipios del interior de la provincia - % de personas",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"10","AR-L1340",2020,38,"Program for Strengthening and Integration of Health Networks in the Province of Buenos Aires - PROFIR II","Loan Operation","Investment Loan","5430/OC-AR","Argentina","The objective of the second individual loan operation under the CCLIP is to improve the accessibility and the effective coverage of the public health services for the population of the PBA. The specific development objectives are: (i) improve the accessibility and effectiveness of public health services at the primary care level; (ii) improve the effectiveness and integration of health services networks; and (iii) expand the provisioning capacity for the prevention, detection and care of COVID-19.",38,"+Mejorar la accesibilidad y la cobertura efectiva de los servicios públicos de salud para la población de la PBA","Porcentaje de personas cronificadas externadas de instituiciones de salud mental (hospitales monovalentes)","% de pacientes","Reporte de monitoreo de internaciones en los hospitales neuropsiquiátricos públicos de la PBA","AR-L1340 - Program for Strengthening and Integration of Health Networks in the Province of Buenos Aires - PROFIR II","+ Porcentaje de personas cronificadas externadas de instituiciones de salud mental (hospitales monovalentes) - % de pacientes",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"11","AR-L1340",2021,38,"Program for Strengthening and Integration of Health Networks in the Province of Buenos Aires - PROFIR II","Loan Operation","Investment Loan","5430/OC-AR","Argentina","The objective of the second individual loan operation under the CCLIP is to improve the accessibility and the effective coverage of the public health services for the population of the PBA. The specific development objectives are: (i) improve the accessibility and effectiveness of public health services at the primary care level; (ii) improve the effectiveness and integration of health services networks; and (iii) expand the provisioning capacity for the prevention, detection and care of COVID-19.",38,"+Mejorar la accesibilidad y la cobertura efectiva de los servicios públicos de salud para la población de la PBA","Promedio anual del porcentaje mensual de ocupación de camas de terapia intensiva por COVID-19","% de camas","Reporte de SIGEC","AR-L1340 - Program for Strengthening and Integration of Health Networks in the Province of Buenos Aires - PROFIR II","+ Promedio anual del porcentaje mensual de ocupación de camas de terapia intensiva por COVID-19 - % de camas",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"12","AR-L1340",2021,38,"Program for Strengthening and Integration of Health Networks in the Province of Buenos Aires - PROFIR II","Loan Operation","Investment Loan","5430/OC-AR","Argentina","The objective of the second individual loan operation under the CCLIP is to improve the accessibility and the effective coverage of the public health services for the population of the PBA. The specific development objectives are: (i) improve the accessibility and effectiveness of public health services at the primary care level; (ii) improve the effectiveness and integration of health services networks; and (iii) expand the provisioning capacity for the prevention, detection and care of COVID-19.",38,"+Mejorar la accesibilidad y la cobertura efectiva de los servicios públicos de salud para la población de la PBA","Correspondencia de triage de radio-operador con triage médico","% de correspondencia de los triage realizados","Informe emitido por el sistema centralizado de despachos y traslados","AR-L1340 - Program for Strengthening and Integration of Health Networks in the Province of Buenos Aires - PROFIR II","+ Correspondencia de triage de radio-operador con triage médico - % de correspondencia de los triage realizados",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
