"","project_number","Baseline Year","Operation Name","Country Name","Objective","outcomes","outcomes_indicators","outcomes_units","Baseline","outcomes_means","Indicator Observation","Long.op.name"
"8","AR-L1326",2019,"Immediate Public Health Response Project en the context of the COVID-19 Pandemic to contain, control and mitigate its effect in health service provision in Argentina","Argentina","The overall objective of this project is to help reduce morbidity and mortality from COVID-19 and mitigate the other indirect health effects of the pandemic. The project will have four specific objectives: (i) Strengthen the response response at the country level; (ii) Improve the detection and monitoring of cases; (iii) Support efforts to interrupt the chain of transmission of the disease; and (iv) Improve the capacity to provide services.","Detección y seguimiento de los casos mejorada","Porcentaje de boletines epidemiológicos emitidos semanalmente durante el período de vigencia de la emergencia sanitaria por COVID-19","Porcentaje",0,"Sitio Web del Ministerio de Salud de la Nación","Numerador: cantidad de semanas en que se emite un boletín epidemiológico durante el periodo de vigencia de la emergencia sanitaria por COVID-19.. Denominador: cantidad de semanas de duración de emergencia sanitaria por COVID-19.","AR-L1326 - Immediate Public Health Response Project en the context of the COVID-19 Pandemic to contain, control and mitigate its effect in health service provision in Argentina"
"9","AR-L1326",2019,"Immediate Public Health Response Project en the context of the COVID-19 Pandemic to contain, control and mitigate its effect in health service provision in Argentina","Argentina","The overall objective of this project is to help reduce morbidity and mortality from COVID-19 and mitigate the other indirect health effects of the pandemic. The project will have four specific objectives: (i) Strengthen the response response at the country level; (ii) Improve the detection and monitoring of cases; (iii) Support efforts to interrupt the chain of transmission of the disease; and (iv) Improve the capacity to provide services.","Capacidad de provisión de servicios mejorada","Porcentaje de camas disponibles en unidades de terapia intensiva (promedio anual a nivel nacional)","Porcentaje",10,"Sistema Integrado de Información Sanitaria Argentino (SISA)","Numerador: número de camas en UTI disponibles. Denominador: Número total de camas en UTI en efectores públicos y privados.","AR-L1326 - Immediate Public Health Response Project en the context of the COVID-19 Pandemic to contain, control and mitigate its effect in health service provision in Argentina"
"10","AR-L1326",2019,"Immediate Public Health Response Project en the context of the COVID-19 Pandemic to contain, control and mitigate its effect in health service provision in Argentina","Argentina","The overall objective of this project is to help reduce morbidity and mortality from COVID-19 and mitigate the other indirect health effects of the pandemic. The project will have four specific objectives: (i) Strengthen the response response at the country level; (ii) Improve the detection and monitoring of cases; (iii) Support efforts to interrupt the chain of transmission of the disease; and (iv) Improve the capacity to provide services.","Capacidad de provisión de servicios mejorada","Porcentaje de jurisdicciones con capacidad de atención ampliada para atención de pacientes con COVID-19","Porcentaje",0,"Sistema de reporte REDES y reportes de la Dirección Nacional de Recursos Físicos.","Numerador: jurisdicciones que incrementan la cantidad de: i. camas y equipamiento Unidad Terapia Intensiva; ii. equipamiento Primer Nivel de Atención; iii. móviles de traslado; iv. ambulancias (alta y baja complejidad); y v. dispositivo de circulación diferenciada para pacientes febriles. Denominador: total de jurisdicciones.","AR-L1326 - Immediate Public Health Response Project en the context of the COVID-19 Pandemic to contain, control and mitigate its effect in health service provision in Argentina"
"14","AR-L1326",2019,"Immediate Public Health Response Project en the context of the COVID-19 Pandemic to contain, control and mitigate its effect in health service provision in Argentina","Argentina","The overall objective of this project is to help reduce morbidity and mortality from COVID-19 and mitigate the other indirect health effects of the pandemic. The project will have four specific objectives: (i) Strengthen the response response at the country level; (ii) Improve the detection and monitoring of cases; (iii) Support efforts to interrupt the chain of transmission of the disease; and (iv) Improve the capacity to provide services.","Capacidad de provisión de servicios mejorada","Porcentaje de establecimientos de salud públicos con imágenes digitales","Porcentaje",3,"SISA","Numerador: total de establecimientos de salud con imágenes digitales Denominador: total de establecimientos de salud (460)","AR-L1326 - Immediate Public Health Response Project en the context of the COVID-19 Pandemic to contain, control and mitigate its effect in health service provision in Argentina"
"15","AR-L1326",2019,"Immediate Public Health Response Project en the context of the COVID-19 Pandemic to contain, control and mitigate its effect in health service provision in Argentina","Argentina","The overall objective of this project is to help reduce morbidity and mortality from COVID-19 and mitigate the other indirect health effects of the pandemic. The project will have four specific objectives: (i) Strengthen the response response at the country level; (ii) Improve the detection and monitoring of cases; (iii) Support efforts to interrupt the chain of transmission of the disease; and (iv) Improve the capacity to provide services.","Esfuerzos para la interrupción de la cadena de transmisión de la enfermedad apoyados","Número de trabajadores de la salud con competencias vinculadas a la prevención y protección ante COVID-19 con enfoque intercultural","Personas",0,"Reporte del Ministerio de Salud","Los cursos tienen una evaluación por la cual se considera que los participantes adquieren las competencias cuando logran un puntaje mayor o igual al 80%.","AR-L1326 - Immediate Public Health Response Project en the context of the COVID-19 Pandemic to contain, control and mitigate its effect in health service provision in Argentina"
"16","AR-L1326",2019,"Immediate Public Health Response Project en the context of the COVID-19 Pandemic to contain, control and mitigate its effect in health service provision in Argentina","Argentina","The overall objective of this project is to help reduce morbidity and mortality from COVID-19 and mitigate the other indirect health effects of the pandemic. The project will have four specific objectives: (i) Strengthen the response response at the country level; (ii) Improve the detection and monitoring of cases; (iii) Support efforts to interrupt the chain of transmission of the disease; and (iv) Improve the capacity to provide services.","Capacidad de provisión de servicios mejorada","Porcentaje de las recetas en el primer nivel de atención que requieren una prescripción medicamentosa que se obtiene a través de REMEDIAR","Porcentaje",25.5,"Sistema Integrado de reportes de logística y medicamentos, REMEDIAR","Numerador: Número de consultas que reciben el medicamento gratuitamente por el programa. Denominador: Número total de consultas que reciben una prescripción en el PNA.","AR-L1326 - Immediate Public Health Response Project en the context of the COVID-19 Pandemic to contain, control and mitigate its effect in health service provision in Argentina"
"17","AR-L1326",2019,"Immediate Public Health Response Project en the context of the COVID-19 Pandemic to contain, control and mitigate its effect in health service provision in Argentina","Argentina","The overall objective of this project is to help reduce morbidity and mortality from COVID-19 and mitigate the other indirect health effects of the pandemic. The project will have four specific objectives: (i) Strengthen the response response at the country level; (ii) Improve the detection and monitoring of cases; (iii) Support efforts to interrupt the chain of transmission of the disease; and (iv) Improve the capacity to provide services.","Capacidad de provisión de servicios mejorada","Porcentaje de jurisdicciones que utilizan la plataforma de Telesalud","Porcentaje",0,"Reportes de la Plataforma de Telesalud","Numerador: Número de Jurisdicciones que utilizan y/o interoperan con la Plataforma de Telesalud Denominador: Número total de jurisdicciones.","AR-L1326 - Immediate Public Health Response Project en the context of the COVID-19 Pandemic to contain, control and mitigate its effect in health service provision in Argentina"
"19","AR-L1326",2020,"Immediate Public Health Response Project en the context of the COVID-19 Pandemic to contain, control and mitigate its effect in health service provision in Argentina","Argentina","The overall objective of this project is to help reduce morbidity and mortality from COVID-19 and mitigate the other indirect health effects of the pandemic. The project will have four specific objectives: (i) Strengthen the response response at the country level; (ii) Improve the detection and monitoring of cases; (iii) Support efforts to interrupt the chain of transmission of the disease; and (iv) Improve the capacity to provide services.","Esfuerzos para la interrupción de la cadena de transmisión de la enfermedad apoyados","Número de personas de grupos priorizados vacunadas contra COVID-19","# of beneficiaries",0,"Reporte del Ministerio de Salud generado a través del sistema NOMIVAC","Los grupos priorizados están definidos en el plan nacional de vacunación COVID (Resolución 2883/20).Las estimaciones están basadas en el supuesto de dos dosis con el precio promedio disponible de UD12.5/dosis (sin los servicios logísticos).","AR-L1326 - Immediate Public Health Response Project en the context of the COVID-19 Pandemic to contain, control and mitigate its effect in health service provision in Argentina"
"20","AR-L1340",2021,"Program for Strengthening and Integration of Health Networks in the Province of Buenos Aires - PROFIR II","Argentina","The objective of the second individual loan operation under the CCLIP is to improve the accessibility and the effective coverage of the public health services for the population of the PBA. The specific development objectives are: (i) improve the accessibility and effectiveness of public health services at the primary care level; (ii) improve the effectiveness and integration of health services networks; and (iii) expand the provisioning capacity for the prevention, detection and care of COVID-19.","2. Mejorar la efectividad e integración de redes de servicios de salud","Medicamentos solicitados al banco de drogas oncológicas que están disponibles dentro de 30 días para la dispensa","% de medicamentos",80,"Reporte generado por el Sistema de Información QLIK","La verificación independiente de los resultados alcanzados, se llevará a cabo aplicando procedimientos de aseguramiento razonable de acuerdo a los criterios definidos en el ROP","AR-L1340 - Program for Strengthening and Integration of Health Networks in the Province of Buenos Aires - PROFIR II"
"21","AR-L1340",2021,"Program for Strengthening and Integration of Health Networks in the Province of Buenos Aires - PROFIR II","Argentina","The objective of the second individual loan operation under the CCLIP is to improve the accessibility and the effective coverage of the public health services for the population of the PBA. The specific development objectives are: (i) improve the accessibility and effectiveness of public health services at the primary care level; (ii) improve the effectiveness and integration of health services networks; and (iii) expand the provisioning capacity for the prevention, detection and care of COVID-19.","3. Ampliar la capacidad prestacional para la prevención, detección y atención de COVID-19","Tiempo de entrega de resultado por testeo COVID-19","Días para la entrega del resultado",5.2,"Sistema Integrado de Información Sanitaria Argentino (SISA)","Se calcula con base al promedio anual de promedios mensuales de los 12 meses anteriores.","AR-L1340 - Program for Strengthening and Integration of Health Networks in the Province of Buenos Aires - PROFIR II"
