Cycle ID,Cycle Period,Cycle Name,Project Number,Operation Name,Execution Agency,Team Leader,Operation Type,Lending Instrument,Borrower,Operation Number,Sector,Operation Stage,Country Name,PMR Required,Related Operations,Objective,Impact Category,Risk Rating,Safeguard Performance Rationale,Safeguard Performance,Is Reformulated,Reformulation Date
45,March Cycle,Second period Jan-Dec 2023 (45),AR-L1254,Program to Support the National Early Childhood Plan and the Policy for Universalization of Early Childhood Education,"MINISTERIO DE EDUCACION, MINISTERIO DE DESARROLLO SOCIAL","VAZQUEZ, CLAUDIA",Loan Operation,Investment Loan,NACION ARGENTINA,"4229/OC-AR, 4229/OC-AR-1, 4229/OC-AR-2",SOCIAL INVESTMENT-EARLY CHILDHOOD DEVELOPMENT,Fully Disbursed,Argentina,0,AR-L1254,"The multisector objective of the CCLIP is to help increase the number of children ages 0 to 5 with age-appropriate physical, language and communication, and socioemotional skills. The objective of the first operation under the CCLIP
is to increase the coverage of quality public services aimed at promoting the development of physical, language and communication, cognitive, and socioemotional skills among children ages 0 to 5",C,Moderate,,,YES,08/05/20
45,March Cycle,Second period Jan-Dec 2023 (45),AR-L1302,Program to support the equity and effectiveness of the social safety net in Argentina,"MINISTERIO DE ECONOMIA Y FINANZAS PUBL, MINISTERIO DE EDUCACION, MINISTERIO DE DESARROLLO SOCIAL 
 
, MINISTERIO DEL INTERIOR 
 
, CONSEJO NACIONAL DE COORDINACIÓN DE POLÍTICAS SOCIALES","VAZQUEZ, CLAUDIA",Loan Operation,Investment Loan,NACION ARGENTINA,"4648/OC-AR, 4648/OC-AR-1, 4648/OC-AR-2, 4648/OC-AR-3, 4648/OC-AR-4, 4648/OC-AR-5",SOCIAL INVESTMENT-POVERTY ALLEVIATION,Closed,Argentina,0,AR-L1302,"The general objective of the program is to help make social safety net programs in Argentina sustainable and more effective. Specifically, the program seeks to: (i) ensure the sustainability of cash transfer programs aimed at the vulnerable population in the context of the targets agreed upon by the Argentine government and the International Monetary Fund; (ii) promote the need to stay in and complete school as well as comprehensive job training for the beneficiary population of these transfers; (iii) boost the distributive efficiency of subsidies on public services; and (iv) enhance the efficiency of social safety net programs by their information management capacity of the data generated in program execution",C,Low,,,NO,
45,March Cycle,Second period Jan-Dec 2023 (45),AR-L1309,Program to Support the Equity and Effectiveness of the Social Safety Net in Argentina -Phase II,"DIRECCION DE PROYECTOS ESPECIALES CON ENFOQUE SECTORIAL AMPLIO 
, MINISTERIO DE HACIENDA Y FINANZAS PUBLICAS","VAZQUEZ, CLAUDIA",Loan Operation,Investment Loan,NACION ARGENTINA,"4806/OC-AR, 4806/OC-AR-1, 4806/OC-AR-2, 4806/OC-AR-3, 4806/OC-AR-4",SOCIAL INVESTMENT-POVERTY ALLEVIATION,Disbursing (From eligibility until all the Operations are closed),Argentina,0,AR-L1309,"The general objective of the program is to help make social safety net programs in Argentina sustainable and more effective. Specifically, the program seeks to: (i) ensure the sustainability of cash transfer programs aimed at the vulnerable population in the context of the targets agreed upon by the Argentine government and the International Monetary Fund; (ii) foster progression and continuity in education, as well as comprehensive vocational training for transfer beneficiaries; (iii) improve the distributive efficiency of subsidies on public transportation services; and (iv) enhance the efficiency of social safety net programs through better management of the data generated during program execution.",C,Low,,,NO,
45,March Cycle,Second period Jan-Dec 2023 (45),AR-L1326,"Immediate Public Health Response Project en the context of the COVID-19 Pandemic to contain, control and mitigate its effect in health service provision in Argentina",MINISTERIO DE SALUD,"SANCHEZ, MARIO ALBERTO",Loan Operation,Investment Loan,NACION ARGENTINA,5032/OC-AR,HEALTH-HEALTH SYSTEM STRENGTHENING,Fully Disbursed,Argentina,0,AR-L1326,The overall objective of this project is to help reduce morbidity and mortality from COVID-19 and mitigate the other indirect health effects of the pandemic. The project will have four specific objectives: (i) Strengthen the response response at the country level; (ii) Improve the detection and monitoring of cases; (iii) Support efforts to interrupt the chain of transmission of the disease; and (iv) Improve the capacity to provide services.,B,Substantial,"Se presentan algunas inconsistencias en relación con la OP-703 (B.2 y B.5), aunque sin significar riesgo de daño material, debido a la necesidad de ajustar algunos Planes de Gestión Ambiental y Social de obra (PGAS-O) de los siete centros de almacenamiento de vacunas (CAV) que tienen contrato adjudicado y en ejecución, y documentar permisos. El organismo ejecutor cuenta con el equipo adecuado para la gestión socioambiental del Programa y con un Sistema de Gestión Ambiental y Social (SGAS), y se están teniendo desafíos de coordinación con el equipo técnico de inspección.",Partially Satisfactory,NO,
45,March Cycle,Second period Jan-Dec 2023 (45),AR-L1331,Support for Vulnerable Populations through the Argentine Plan to Combat Hunger amid the COVID-19 Pandemic.,MINISTERIO DE DESARROLLO SOCIAL,"VAZQUEZ, CLAUDIA",Loan Operation,Investment Loan,NACION ARGENTINA,5295/OC-AR,SOCIAL INVESTMENT-POVERTY ALLEVIATION,Fully Disbursed,Argentina,0,AR-L1331,"Contribute to the implementation of the ""Argentina Against Hunger"" Plan to prioritize early childhood and ensure the feeding and nutrition of families in social vulnerability with young children.",C,Moderate,,,NO,
45,March Cycle,Second period Jan-Dec 2023 (45),AR-L1340,Program for Strengthening and Integration of Health Networks in the Province of Buenos Aires - PROFIR II,MINISTERIO DE ECONOMÍA DE LA PROVINCIA DE BUENOS AIRES,"SANCHEZ, MARIO ALBERTO",Loan Operation,Investment Loan,PROVINCIA DE BUENOS AIRES,5430/OC-AR,HEALTH-HEALTH SYSTEM STRENGTHENING,Disbursing (From eligibility until all the Operations are closed),Argentina,0,AR-L1340,"The objective of the second individual loan operation under the CCLIP is to improve the accessibility and the effective coverage of the public health services for the population of the PBA. The specific development objectives are: (i) improve the accessibility and effectiveness of public health services at the primary care level; (ii) improve the effectiveness and integration of health services networks; and (iii) expand the provisioning capacity for the prevention, detection and care of COVID-19.",B13,Moderate,El contrato de préstamo fue firmado entre la Provincia de Buenos Aires y el Banco el 18 de noviembre del 2021 en el marco del Acuerdo de Línea de Crédito Condicional (AR-O0013). No se han realizado acciones que incidan en su desempeño socioambiental ni avances en lo que respecta al componente de infraestructura.,Satisfactory,NO,
45,March Cycle,Second period Jan-Dec 2023 (45),AR-L1358,First Individual Operation of the Program for the Integration of the Argentine Health System,MINISTERIO DE SALUD,"SANCHEZ, MARIO ALBERTO",Loan Operation,Investment Loan,NACION ARGENTINA,5744/OC-AR,HEALTH-HEALTH SYSTEM STRENGTHENING,Disbursing (From eligibility until all the Operations are closed),Argentina,0,AR-L1358,Expand access to and effective coverage of health services for the population with exclusive public coverage.,C,Low,,,NO,
45,March Cycle,Second period Jan-Dec 2023 (45),AR-L1366,Program to support the social inclusion of people with disabilities,AGENCIA NACIONAL DE DISCAPACIDAD,"SANCHEZ, MARIO ALBERTO",Loan Operation,Investment Loan,NACION ARGENTINA,5746/OC-AR,SOCIAL INVESTMENT,Disbursing (From eligibility until all the Operations are closed),Argentina,0,AR-L1366,Reducing the levels of social exclusion of people with disabilities,C,Low,,,NO,
45,March Cycle,Second period Jan-Dec 2023 (45),BH-G0004,Programme to Support the Health System Strengthening of The Bahamas,MINISTRY OF HEALTH,"HENRY, NICOLETTE ODELLA",Investment Grants,,,GRT/ER-19507-BH,HEALTH-HEALTH SYSTEM STRENGTHENING,Effective/Pending Eligibility,Bahamas,0,BH-L1053,"The operation's primary aim is to support the strengthening of The Bahamas health system to meet the population's health needs. It will pay particular focus on gender-responsive services and ensuring equal universal access to health care for all, targeting women's and girls' access to sexual and reproductive health and rights, including and particularly women and girls from groups living in vulnerable situations. The specific objectives are to: (i) Integrate primary and secondary care services that DPH, PHA and NHIA deliver; (ii) Improve access, coverage and quality of the community, ambulatory and hospital services through a person and community-centered model of care; and (iii) Increase health services efficiency.",B,Substantial,"Only one clinic has gone to bidding and did so without the specific ESMP or consultation having taken place (Stevenson Clinic), so therefore the Action Plan includes actions to correct this for that clinic and to ensure the future clinics comply with including the specific ESMP and consultation results in the bidding documents.",Partially Satisfactory,NO,
45,March Cycle,Second period Jan-Dec 2023 (45),BH-L1053,Programme to Support the Health System Strengthening of The Bahamas,MINISTRY OF HEALTH,"HENRY, NICOLETTE ODELLA",Loan Operation,Investment Loan,THE COMMONWEALTH OF THE BAHAMAS,5296/OC-BH,HEALTH-HEALTH SYSTEM STRENGTHENING,Disbursing (From eligibility until all the Operations are closed),Bahamas,0,BH-G0004,"The overall objective is to reduce the morbidity and mortality caused by COVID-19, mitigate the indirect impacts of the pandemic on the health status of the population, and strengthen the preparedness of the health system of The Bahamas for future health risks.",B,Substantial,"Only one clinic has gone to bidding and did so without the specific ESMP or consultation having taken place (Stevenson Clinic), so therefore the Action Plan includes actions to correct this for that clinic and to ensure the future clinics comply with including the specific ESMP and consultation results in the bidding documents.",Partially Satisfactory,YES,03/27/23
45,March Cycle,Second period Jan-Dec 2023 (45),BH-L1055,Program to support the Health Sector to Contain and Control Coronavirus and to Mitigate its effects in Service Provision,MINISTRY OF HEALTH,"BERNAL STUART, ANA",Loan Operation,Investment Loan,THE COMMONWEALTH OF THE BAHAMAS,5179/OC-BH,HEALTH-DISEASE PREVENTION & CONTROL,Disbursing (From eligibility until all the Operations are closed),Bahamas,0,BH-L1055,The general objective of this project is to help reduce the morbidity and mortality caused by COVID-19 and to mitigate other indirect impacts of the pandemic on health. The specific objectives of the program are: (i) to strengthen response leadership at the country level; (ii) to improve case detection and monitoring; (iii) to support initiatives to break the chain of transmission of the illness; and (iv) to improve service delivery capacity.,C,Moderate,,,NO,
45,March Cycle,Second period Jan-Dec 2023 (45),BL-L1036,Program to Support the Health Sector to Contain and Control Coronavirus and to Mitigate its Effect on Service Provision,MINISTRY OF HEALTH,"AGUILAR RIVERA, ANA MYLENA",Loan Operation,Investment Loan,BELIZE,5233/OC-BL,HEALTH-HEALTH SYSTEM STRENGTHENING,Disbursing (From eligibility until all the Operations are closed),Belize,0,BL-L1036,The general objective of this project is to help reduce the morbidity and mortality caused by COVID-19 and to mitigate other indirect impacts of the pandemic on health. The project specific development objective is to support the efforts to interrupt the transmission chain of the illness.,C,Moderate,,,NO,
45,March Cycle,Second period Jan-Dec 2023 (45),BO-L1067,Strengthening of Integrated Health Networks in the Department of Potosi,MINISTERIO DE PREVISION SOCIAL Y SALUD PUBLICA,"OCHOA, FRANCISCO JOSE",Loan Operation,Investment Loan,ESTADO PLURINACIONAL DE BOLIVIA,"2614/BL-BO, 2614/BL-BO-1, 2614/BL-BO-2",HEALTH-HEALTH SERVICES,Fully Disbursed,Bolivia,0,BO-L1067,"The objective of the program is to contribute to an improvement of the maternal and infant health status of the bolivian population, by strengthening the public health networks through an increased resolutive capacity of secondary care under the approach of the new model of Family Community and Intercultural Health.",B,Substantial,,,NO,
45,March Cycle,Second period Jan-Dec 2023 (45),BO-L1078,Improved access to health services in Bolivia,MISTERIO DE SALUD,"OCHOA, FRANCISCO JOSE",Loan Operation,Investment Loan,ESTADO PLURINACIONAL DE BOLIVIA,2822/BL-BO,HEALTH-HEALTH SERVICES,Fully Disbursed,Bolivia,0,BO-L1078,"The objective of the project is to improve the efficienc of health service production and the resolutive capacity of health networks in El Alto and Potosi to be able to attend to health requirements at the departmental level. The health networks will have greater capacity to resolve postponed or discouraged health needs, and will contribute to decongest reference hospitals at the national level. Given Bolivia's epidemilogical profile, the project's impact will be to contribute to the reduction of morbility and mortality, especially for mothers and infants. The project will complete and complement the functioning of health networks in Potosi and El Alto by constructing and equipping specialized hospitals in these cities.",B,Substantial,"Cumplimiento y avance del PGAS y PAC tanto en el Hospital del Norte (HDN) y Hospital de Tercer Nivel Potosí. En temas ambientales para el HDN se tiene: El HD ha dado cumplimiento con la normativa local para la obtención de la licencia ambiental, y procedió a la solicitud al ente administrativo encargado, con toda la documentación. El Equipamiento y gestión para tratamiento de residuos sólidos y limpieza del sistema de tratamiento de aguas residuales, no fueron financiadas por el proyecto, por lo tanto, si bien el HD requeriría un equipamiento adecuado, este se deja como una recomendación. Seguimiento administrativo para obtención de las Licencias (LASP).",Satisfactory,NO,
45,March Cycle,Second period Jan-Dec 2023 (45),BO-L1082,Improved Access to Health Services El Alto Bolivia,MISTERIO DE SALUD,"OCHOA, FRANCISCO JOSE",Loan Operation,Investment Loan,ESTADO PLURINACIONAL DE BOLIVIA,3151/BL-BO,HEALTH-HEALTH SERVICES,Fully Disbursed,Bolivia,0,BO-L1082,"The objective of the project is to increase the ability of the municipal health network to respond comprehensively and timely to a demand for health care for the city of El Alto and nearby rural areas in order to reduce mortality, particularly the maternal and morbidity and mortality from cervical cancer.",B,Substantial,Se ha evidenciado el cumplimiento satisfactorio de las acciones previstas para la gestión ambiental y social y derechos propietarios contenidos en el Plan de Acción Correctivo (PAC) elaborado en la supervisión del 2020 y se confirmaron las acciones ejecutadas para atender no conformidades previas.,Satisfactory,NO,
45,March Cycle,Second period Jan-Dec 2023 (45),BO-L1198,Program to improve accessibility to maternal and Neonatal health services in Bolivia,"MINISTERIO DE PLANIFICACION DEL DESARROLLO, MISTERIO DE SALUD 
 
, AGENCIA DE INFRAESTRUCTURA EN SALUD Y EQUIPAMIENTO MEDICO","OCHOA, FRANCISCO JOSE",Loan Operation,Investment Loan,ESTADO PLURINACIONAL DE BOLIVIA,"4612/BL-BO, 4612/BL-BO-1, 4612/BL-BO-2",HEALTH-HEALTH SERVICES,Disbursing (From eligibility until all the Operations are closed),Bolivia,0,BO-L1198,"The program's general objective is to reduce maternal and neonatal morbidity and mortality, by increasingthe accessibility and enhancing the health outcomes of the prioritized health networks (those with the worst maternal and infantmortality and accessibility indicators). The specific objectives are: (i) to implement the essential neonatal obstetric care (ENOC)strategy and improve network performance by: (a) implementing processes for the continuous improvement of care quality, withemphasis on an ENOC service model; (b) supporting the digital transformation of the sector by improving health caremanagement information systems in the network and monitoring of maternal and neonatal morbidity and mortality; and(c) enhancing management capacities in the network and in individual healthcare facilities; and (ii) to strengthen the infrastructureof the health services network, by investing in works and equipment that improve its health outcomes, under a comprehensive,coordinated vision of the network",B,Substantial,,,NO,
45,March Cycle,Second period Jan-Dec 2023 (45),BO-L1216,Support for Vulnerable Populations Affected by Coronavirus,MINISTERIO DE ECONOMIA Y FINANZAS PUBLICAS,"URQUIDI ZIJDERVELD, MANUEL ENRIQUE",Loan Operation,Investment Loan,ESTADO PLURINACIONAL DE BOLIVIA,5039/OC-BO,SOCIAL INVESTMENT-POVERTY ALLEVIATION,Closed,Bolivia,0,BO-L1216,"The general development objective of this project is to help ensure minimum levels of quality of life for vulnerable people in the face of the crisis caused by COVID-19 in Bolivia. The specific objective is to support minimum income levels of people affected by the coronavirus, in the immediate period and during recovery.",C,Low,,,NO,
45,March Cycle,Second period Jan-Dec 2023 (45),BO-L1219,Support for Vulnerable Populations Affected by Coronavirus II,"MINISTERIO DE ECONOMIA Y FINANZAS PÚBLICAS, MISTERIO DE SALUD","OCHOA, FRANCISCO JOSE",Loan Operation,Investment Loan,ESTADO PLURINACIONAL DE BOLIVIA,"5376/OC-BO, 5376/OC-BO-1, 5376/OC-BO-2",SOCIAL INVESTMENT-POVERTY ALLEVIATION,Disbursing (From eligibility until all the Operations are closed),Bolivia,0,BO-L1219,"The general development objective of this project is to help ensure minimum levels of quality of life for vulnerable people in the face of the crisis caused by COVID-19 in Bolivia. The specific objective is to support minimum income levels of people affected by the coronavirus, in the immediate period and during recovery.",C,Moderate,,,YES,12/12/22
45,March Cycle,Second period Jan-Dec 2023 (45),BR-L1372,Integrated Prog for Social Inclusion and Urban Requalification: Fam Paranaense,"ESTADO DO PARANA, SECRETARIA DE ESTADO DO DESENVOLVIMENTO SOCIAL E FAMILIA","OCHOA, FRANCISCO JOSE",Loan Operation,Investment Loan,ESTADO DO PARANA,3129/OC-BR,SOCIAL INVESTMENT-POVERTY ALLEVIATION,Disbursing (From eligibility until all the Operations are closed),Brazil,0,BR-L1372,"The general objective of the Familia Paranaense program is to promote better life conditions and the reduction of social vulnerability of poor families, through a set of intersectoral policies and the coordination of services offered by different areas of the Government.",B,High,"A classificação parcialmente insatisfatória associa-se aos avanços ainda insuficientes nos temas sociais identificados, especialmente relacionados às obras no município de Imbituva e Wenceslau Braz, cuja implantação das unidades habitacionais ainda não logrou êxito completo, restam 74 unidades a serem entregues, dentre as quais 4 não foram iniciadas, este incumprimento gera risco de dano material. O cronograma atual prevê a entrega do último lote de casas em 15 de fevereiro de 2024, extrapolando a data de último desembolso, no entanto, ainda dentro do prazo de encerramento do Programa, ou seja, 90 dias após o desembolso. Adicionalmente, persiste a dificuldade em cumprir os requisitos ambientais e de segurança comunitária.",Partially Unsatisfactory,NO,
45,March Cycle,Second period Jan-Dec 2023 (45),BR-L1406,Support of Social Reforms in Ceara - PROARES III,SECRETARIA DA PROTECAO SOCIAL JUSTICA CIDADANIA MULHERES E DIREITOS HUMANOS,"BUSCARONS CUESTA, LUIS",Loan Operation,Investment Loan,ESTADO DE CEARA,3408/OC-BR,SOCIAL INVESTMENT-POVERTY ALLEVIATION,Disbursing (From eligibility until all the Operations are closed),Brazil,0,BR-L1406,"The main objective of PROARES III is to reduce vulnerability and social risk of individuals and families living in the poorest municipalities in Ceara, through their inclusion in differentiated social services and through employment. To do this, the program will develop and implement actions to promote access, improve infrastructure and quality of social services and productive inclusion, respectively for children, youth at risk, poor and vulnerable families and informal workers",B,Moderate,,,NO,
45,March Cycle,Second period Jan-Dec 2023 (45),BR-L1408,Program for the Expansion and Improvement of Specialized Health Care in the State of Ceará II – PROEXMAES II,SECRETARIA DE SAUDE DO ESTADO DO CEARA,"BUSCARONS CUESTA, LUIS",Loan Operation,Investment Loan,ESTADO DE CEARA,3703/OC-BR,HEALTH-HEALTH SYSTEM STRENGTHENING,Disbursing (From eligibility until all the Operations are closed),Brazil,0,BR-L1408,"The objective of the program is to help improve the health status of the population of Ceará by
increasing service accessibility and quality and improving the performance of the Unified Public Health System by consolidating the
health care network approach in the state.",B,Substantial,"O Programa passou de desempenho parcialmente insatisfatório para parcialmente satisfatório, devido às ações implementadas nos primeiros meses deste ano, pela UCP em parceria realizada com as Secretarias de Meio Ambiente Estadual do Ceará e Municipal de Limoeiro do Norte, em retomada da execução das ações do Plano de Recuperação de Área Degradada (PRAD), resultante do empréstimo de material construtivo (solo) utilizada pelo Programa, em terreno adjacente ao Hospital. Restam, aproximadamente, 20% da área a ser recuperada com novas ações. Em geral, verificou-se avanço no desenvolvimento da vegetação implantada e ocorrência de regeneração natural, estando a área em processo de restabelecimento do equilíbrio ecológico e da paisagem.",Partially Satisfactory,NO,
