Cycle ID,Cycle Period,Cycle Name,Project Number,Operation Name,Execution Agency,Team Leader,Operation Type,Lending Instrument,Borrower,Operation Number,Sector,Operation Stage,Country Name,PMR Required,Related Operations,Objective,Impact Category,Risk Rating,Safeguard Performance Rationale,Safeguard Performance,Is Reformulated,Reformulation Date
45,March Cycle,Second period Jan-Dec 2023 (45),BO-L1067,Strengthening of Integrated Health Networks in the Department of Potosi,MINISTERIO DE PREVISION SOCIAL Y SALUD PUBLICA,"OCHOA, FRANCISCO JOSE",Loan Operation,Investment Loan,ESTADO PLURINACIONAL DE BOLIVIA,"2614/BL-BO, 2614/BL-BO-1, 2614/BL-BO-2",HEALTH-HEALTH SERVICES,Fully Disbursed,Bolivia,0,BO-L1067,"The objective of the program is to contribute to an improvement of the maternal and infant health status of the bolivian population, by strengthening the public health networks through an increased resolutive capacity of secondary care under the approach of the new model of Family Community and Intercultural Health.",B,Substantial,,,NO,
45,March Cycle,Second period Jan-Dec 2023 (45),BO-L1078,Improved access to health services in Bolivia,MISTERIO DE SALUD,"OCHOA, FRANCISCO JOSE",Loan Operation,Investment Loan,ESTADO PLURINACIONAL DE BOLIVIA,2822/BL-BO,HEALTH-HEALTH SERVICES,Fully Disbursed,Bolivia,0,BO-L1078,"The objective of the project is to improve the efficienc of health service production and the resolutive capacity of health networks in El Alto and Potosi to be able to attend to health requirements at the departmental level. The health networks will have greater capacity to resolve postponed or discouraged health needs, and will contribute to decongest reference hospitals at the national level. Given Bolivia's epidemilogical profile, the project's impact will be to contribute to the reduction of morbility and mortality, especially for mothers and infants. The project will complete and complement the functioning of health networks in Potosi and El Alto by constructing and equipping specialized hospitals in these cities.",B,Substantial,"Cumplimiento y avance del PGAS y PAC tanto en el Hospital del Norte (HDN) y Hospital de Tercer Nivel Potos°. En temas ambientales para el HDN se tiene: El HD ha dado cumplimiento con la normativa local para la obtenci¢n de la licencia ambiental, y procedi¢ a la solicitud al ente administrativo encargado, con toda la documentaci¢n. El Equipamiento y gesti¢n para tratamiento de residuos s¢lidos y limpieza del sistema de tratamiento de aguas residuales, no fueron financiadas por el proyecto, por lo tanto, si bien el HD requerir°a un equipamiento adecuado, este se deja como una recomendaci¢n. Seguimiento administrativo para obtenci¢n de las Licencias (LASP).",Satisfactory,NO,
45,March Cycle,Second period Jan-Dec 2023 (45),BO-L1082,Improved Access to Health Services El Alto Bolivia,MISTERIO DE SALUD,"OCHOA, FRANCISCO JOSE",Loan Operation,Investment Loan,ESTADO PLURINACIONAL DE BOLIVIA,3151/BL-BO,HEALTH-HEALTH SERVICES,Fully Disbursed,Bolivia,0,BO-L1082,"The objective of the project is to increase the ability of the municipal health network to respond comprehensively and timely to a demand for health care for the city of El Alto and nearby rural areas in order to reduce mortality, particularly the maternal and morbidity and mortality from cervical cancer.",B,Substantial,Se ha evidenciado el cumplimiento satisfactorio de las acciones previstas para la gesti¢n ambiental y social y derechos propietarios contenidos en el Plan de Acci¢n Correctivo (PAC) elaborado en la supervisi¢n del 2020 y se confirmaron las acciones ejecutadas para atender no conformidades previas.,Satisfactory,NO,
45,March Cycle,Second period Jan-Dec 2023 (45),BO-L1198,Program to improve accessibility to maternal and Neonatal health services in Bolivia,"MINISTERIO DE PLANIFICACION DEL DESARROLLO, MISTERIO DE SALUD 
 
, AGENCIA DE INFRAESTRUCTURA EN SALUD Y EQUIPAMIENTO MEDICO","OCHOA, FRANCISCO JOSE",Loan Operation,Investment Loan,ESTADO PLURINACIONAL DE BOLIVIA,"4612/BL-BO, 4612/BL-BO-1, 4612/BL-BO-2",HEALTH-HEALTH SERVICES,Disbursing (From eligibility until all the Operations are closed),Bolivia,0,BO-L1198,"The program's general objective is to reduce maternal and neonatal morbidity and mortality, by increasingthe accessibility and enhancing the health outcomes of the prioritized health networks (those with the worst maternal and infantmortality and accessibility indicators). The specific objectives are: (i) to implement the essential neonatal obstetric care (ENOC)strategy and improve network performance by: (a) implementing processes for the continuous improvement of care quality, withemphasis on an ENOC service model; (b) supporting the digital transformation of the sector by improving health caremanagement information systems in the network and monitoring of maternal and neonatal morbidity and mortality; and(c) enhancing management capacities in the network and in individual healthcare facilities; and (ii) to strengthen the infrastructureof the health services network, by investing in works and equipment that improve its health outcomes, under a comprehensive,coordinated vision of the network",B,Substantial,,,NO,
45,March Cycle,Second period Jan-Dec 2023 (45),BO-L1216,Support for Vulnerable Populations Affected by Coronavirus,MINISTERIO DE ECONOMIA Y FINANZAS PUBLICAS,"URQUIDI ZIJDERVELD, MANUEL ENRIQUE",Loan Operation,Investment Loan,ESTADO PLURINACIONAL DE BOLIVIA,5039/OC-BO,SOCIAL INVESTMENT-POVERTY ALLEVIATION,Closed,Bolivia,0,BO-L1216,"The general development objective of this project is to help ensure minimum levels of quality of life for vulnerable people in the face of the crisis caused by COVID-19 in Bolivia. The specific objective is to support minimum income levels of people affected by the coronavirus, in the immediate period and during recovery.",C,Low,,,NO,
45,March Cycle,Second period Jan-Dec 2023 (45),BO-L1219,Support for Vulnerable Populations Affected by Coronavirus II,"MINISTERIO DE ECONOMIA Y FINANZAS P?BLICAS, MISTERIO DE SALUD","OCHOA, FRANCISCO JOSE",Loan Operation,Investment Loan,ESTADO PLURINACIONAL DE BOLIVIA,"5376/OC-BO, 5376/OC-BO-1, 5376/OC-BO-2",SOCIAL INVESTMENT-POVERTY ALLEVIATION,Disbursing (From eligibility until all the Operations are closed),Bolivia,0,BO-L1219,"The general development objective of this project is to help ensure minimum levels of quality of life for vulnerable people in the face of the crisis caused by COVID-19 in Bolivia. The specific objective is to support minimum income levels of people affected by the coronavirus, in the immediate period and during recovery.",C,Moderate,,,YES,12/12/22
45,March Cycle,Second period Jan-Dec 2023 (45),CO-G1013,Colombia - Regional Malaria Elimination Inniciative (RMEI) in Mesoamerica and Dominican Republic,MINISTERIO DE SALUD PUBLICA,"ORTIZ HOYOS, JOSE LUIS",Investment Grants,,,"GRT/MM-17491-CO, GRT/MM-17492-CO",HEALTH-DISEASE PREVENTION & CONTROL,Disbursing (From eligibility until all the Operations are closed),Colombia,1,CO-G1013,"The objective of the operation is to contribute to the reduction of malaria cases by 2020 in Colombia through improvements in access to prevention, diagnosis and treatment services, and through the timely detection and management of autochthonous and imported cases.",C,Low,,,NO,
45,March Cycle,Second period Jan-Dec 2023 (45),CO-G1028,Immediate Public Health Response to Contain and Control the Coronavirus and Mitigate Its Impact on Service Delivery in Departments Bordering Ecuador,UNIDAD NACIONAL PARA LA GESTION DEL RIESGO DE DESASTRES,"ORTIZ HOYOS, JOSE LUIS",Investment Grants,,,GRT/IE-18234-CO,HEALTH-PRIMARY HEALTH CARE,Disbursing (From eligibility until all the Operations are closed),Colombia,0,CO-G1028,"The overall objective of this project is to help reduce the morbidity and mortality caused by COVID-19 and to mitigate other indirect impacts of the pandemic on health in the municipalities of Nair§o and Putumayo, border with Ecuador. The project will benefit the Colombian and Ecuadorian population on both sides of the border by improving basic health service provision and epidemiological surveillance at border crossings.",C,Low,,,NO,
45,March Cycle,Second period Jan-Dec 2023 (45),CO-J0011,PROGRAM TO ENHANCE SUSTAINABILITY AND INCLUSIVENESS IN THE COLOMBIAN HEALTH CARE SYSTEM,MINISTERIO DE SALUD Y PROTECCI?N SOCIAL,"ORTIZ HOYOS, JOSE LUIS",Grant Financing Product,Investment Loan,REPUBLICA DE COLOMBIA,5172/GR-CO,HEALTH-HEALTH FINANCING,Disbursing (From eligibility until all the Operations are closed),Colombia,0,CO-L1248,"Improve sustainability of the SGSSS to preserve coverage, equity, and financial protection, as well as improve the population?s health. Specific objectives: (i) controlling the spending on health services and technologies not financed by the UPC; (ii) improving the system efficiency and (iii) increasing migrant population and its receiving communities effective health coverage.",C,Low,,,NO,
45,March Cycle,Second period Jan-Dec 2023 (45),CO-L1248,PROGRAM TO ENHANCE SUSTAINABILITY AND INCLUSIVENESS IN THE COLOMBIAN HEALTH CARE SYSTEM,MINISTERIO DE SALUD Y PROTECCI?N SOCIAL,"ORTIZ HOYOS, JOSE LUIS",Loan Operation,Investment Loan,REPUBLICA DE COLOMBIA,5170/OC-CO,HEALTH-HEALTH FINANCING,Closed,Colombia,0,CO-J0011,"Improve sustainability of the SGSSS to preserve coverage, equity, and financial protection, as well as improve the population?s health. Specific objectives: (i) controlling the spending on health services and technologies not financed by the UPC; (ii) improving the system efficiency and (iii) increasing migrant population and its receiving communities effective health coverage.",B13,Low,,,NO,
