Project Number,Baseline Year,Operation Name,Long.op.name,objectives,objectives_indicators,objectives_units,outcomes,outcomes_indicators,outcomes_units,outcomes_means,health,malaria,covid,acceso,morbilidad,eficiencia,equidad,calidad_name,calidad_g_objective,calidad_outcome,calidad_outcome_ind,not.a.loan
AR-L1196,2015,MULTIPHASE PRIMARY HEALTH CARE PROGRAM FOR MANAGING CHRONIC NONCOMMUNICABLE DISEASES,AR-L1196 - MULTIPHASE PRIMARY HEALTH CARE PROGRAM FOR MANAGING CHRONIC NONCOMMUNICABLE DISEASES,"+Contribuir a la reducción de la morbimortalidad por enfermedades crónicas no transmisibles en Argentina, con énfasis en la población con cobertura pública exclusiva","Diabéticos entre 40 y 65 años con tratamiento farmacológico, sobre el total de diabéticos del mismo rango etario.
Personas entre 50 y 75 años con diagnóstico de lesiones precancerosas o cáncer colorrectal estadio temprano , sobre el total de personas tamizadas del mismo rango etario con diagnóstico de lesiones precancerosas o cáncer colorrectal .
Mujeres entre 50 y 69 años con diagnóstico de cáncer de mama en estadio temprano , sobre el total de mujeres registradas del mismo rango etario con diagnóstico de cáncer de mama.
Tiempo promedio que transcurre desde la sospecha diagnóstica de cáncer hasta el inicio del tratamiento definitivo.
Personas de entre 40 y 65 años que utilizaron servicios de salud en el último mes, sobre el total de personas en el mismo rango etario y periodo de tiempo que utilizaron dichos servicios o que no lo hicieron habiendo tenido síntomas o problemas de salud
Hipertensos entre 40 y 65 años con tratamiento farmacológico, sobre el total de hipertensos del mismo rango etario
Mujeres entre 30 y 64 años con diagnóstico de lesión precancerosa de alto grado o cáncer cervicouteríno en estadio temprano , sobre el estimado del total de mujeres del mismo rango etario con lesiones precancerosas y cáncer cervicouterino .","Porcentaje
Porcentaje
Porcentaje
Días
Porcentaje
Porcentaje
Porcentaje","+Incrementar el acceso efectivo de la población con cobertura pública exclusiva a servicios de tamizaje para la detección oportuna de enfermedades crónicas o del riesgo de contraerlas
+Incrementar las competencias de los efectores del Primer Nivel de Atención para la detección oportuna o el tratamiento de enfermedades crónicas","+Porcentaje de personas mayores de 40 años con CPE con RCGV mayor de 10, que efectuaron consultas de seguimiento en el último año
+Personas a las que se realiza al menos un tamizaje para riesgo cardiovascular o cánceres de mama, cervicouterino y colorrectal en CAPS cubiertos por el programa
+Personas entre 40 y 65 años que reportan haber tenido al menos una medición de presión arterial en los últimos dos años sobre el total de personas del mismo grupo etario
+Personas entre 40 y 65 años que alguna vez tuvieron una medición de glucemia sobre el total de personas del mismo grupo etario.
+Mujeres entre 50 y 69 años con al menos una mamografía en los últimos 24 meses, sobre el total de mujeres del mismo grupo etario
+Mujeres entre 30 y 64 años con al menos un tamizaje de cáncer cervicouterino según guías de práctica clínica , sobre el total de mujeres del mismo rango etario
+Personas entre 50 y 75 años con al menos un tamizaje de cáncer colorrectal en los últimos dos años, sobre el total de personas del mismo rango etario en las provincias
+Porcentaje de las consultas en el Primer Nivel de Atención que requieren una prescripción medicamentosa que se obtiene a través de REMEDIAR.
+Plan de implementación de una vacuna contra la COVID-19 elaborado o fortalecido
+Personal del Primer Nivel de Atención que demuestra tener al menos 80% de los conocimientos en estrategias de mejora de los cuidados de salud
+Médicos del Primer Nivel de Atención que demuestran tener al menos 60% de los conocimientos en Terapéutica Racional de Medicamentos
+Agentes sanitarios que demuestran tener al menos 80% de los conocimientos en prevención y detección temprana de cáncer en el Primer Nivel de Atención","+Porcentaje
+# of beneficiaries
+Porcentaje
+Porcentaje
+Porcentaje
+Porcentaje
+Porcentaje
+Porcentaje
+Plan
+Personas
+Personas
+Personas","+Sistema de Información Sanitario Argentino (SISA)
+Informes semestrales
+Informe de evaluación de impacto del Programa REDES
+Informe de evaluación de impacto del Programa REDES
+Reportes del Sistema de Información de Tamizaje
+Reportes del Sistema de Información de Tamizaje
+Reportes del Sistema de Información de Tamizaje
+Sistema Integrado de reportes de logística y medicamentos, REMEDIAR.
+Fuente de la información: Ministerio de Salud
+Informe de evaluación de capacitaciones
+Informe de evaluación de capacitaciones
+Informes de evaluación de capacitaciones",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
AR-L1254,2012,,AR-L1254 - NA,+Mejora en indicadores de desarrollo infantil,Niños de 0 a 48 meses de edad que asisten a EPI fortalecidos por el Programa y logran un nivel de desarrollo esperable para su edad,%,"+Incremento en el acceso a servicios públicos de desarrollo infantil de calidad
+Mejora en la calidad de servicios públicos de desarrollo infantil
+Fortalecimiento de competencias de técnicos, docentes, directores y supervisores en Educación Inicial","+Niños que asisten a un EPI con proyecto de fortalecimiento de calidad financiado por el programa finalizado
+Niños beneficiarios del Programa Primeros Años en su modalidad de acompañamiento familiar
+Alumnos que asisten a las nuevas salas de jardines construidos o ampliados por el programa
+Tasa neta de matriculación a Educación Inicial para niños de 3 y 4 años
+EPI fortalecidos por el Programa cuyo estado de condición edilicia es adecuado
+Jardines beneficiados por el Programa que alcanzan un puntaje mínimo de calidad de los insumos para el proceso educativo
+Niños de 0 a 4 años beneficiarios del Programa Primeros Años que compartieron con algún miembro adulto de su hogar cuatro o más actividades promotoras del desarrollo en la primera infancia en los últimos tres días
+Niños de 0 a 4 años beneficiarios del Programa Primeros Años que compartieron con algún miembro adulto varón de su hogar cuatro o más actividades promotoras del desarrollo en la primera infancia en los últimos tres días
+Profesionales técnicos, supervisores, directivos y docentes capacitados para la gestión de estrategias integrales para la primera infancia
+Supervisores, directores y docentes certificados en planeamiento y gestión de la innovación
+Docentes certificados en modelos pedagógicos innovadores para el nivel inicial","+Children (#)
+niños
+# of students
+%
+%
+%
+%
+%
+Profesionales
+supervisores, directores y docentes
+docentes","+Reporte del Sistema de Espacios de Primera Infancia
+Informes semestrales
+Reporte del Sistema Integral de Información Digital Educativa
+Informe de evaluación de impacto
+Reporte del Sistema de Espacios de Primera Infancia
+Informe de evaluación de impacto
+Informe de evaluación de impacto
+Informe de evaluación de impacto
+Informes del Ministerio de Educación, programa Escuela de Gobierno
+Informes del Instituto Nacional de Formación Docente
+Informes del Instituto Nacional de Formación Docente",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
AR-L1302,2017,,AR-L1302 - NA,"+Aumento del empleo registrado en el sector formal
+Aumento del porcentaje de jóvenes que aprueban las materias según el plan de estudios
+Mayor ahorro en transporte como porcentaje del gasto no alimentario","Titulares de Hacemos Futuro que acceden a un empleo registrado en el sector formal
Beneficiarios de Becas Progresar en el nivel superior que aprueban al menos 50% de las materias requeridas según su plan de estudios
Ahorro promedio en gastos de transporte debido a la Tarifa Social como porcentaje del gasto no alimentario de los hogares de menores ingresos","%
%
%","+Empleabilidad de población vulnerable mejorada
+Regularidad educativa entre jóvenes de 18 a 24 años mantenida
+Acceso al servicio de transporte público por parte de la población vulnerable aumentado","+Titulares de Hacemos Futuro que acreditaron la finalización de cursos de formación laboral integral.
+Titulares de Hacemos Futuro con secundario incompleto que asisten a un establecimiento educativo.
+Beneficiarios de las Becas Progresar en el nivel superior que mantiene la regularidad al finalizar el ciclo lectivo
+Cobertura a nivel nacional del subsidio social a la tarifa de transporte","+%
+%
+%
+%","+Reporte del MSDS con base en datos administrativos de las instituciones homologadas y/o los certificados presentados por los titulares en ANSES.
+Reporte del MSDS en base a los certificados presentados por los titulares en ANSES.
+Reporte del MECCT en base a información administrativa de las universidades e instituciones de educación terciaria a nivel nacional.
+Reporte del Consejo Nacional de Coordinación de Políticas Sociales (CNCPS) en base a datos administrativos del universo de beneficiarios potenciales.",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
AR-L1309,2017,,AR-L1309 - NA,"+Aumento del empleo registrado en el sector formal
+Mayor ahorro en transporte como porcentaje del gasto no alimentario
+Aumento del porcentaje de jóvenes que aprueban las materias según el plan de estudios","Titulares de Hacemos Futuro que acceden a un empleo registrado en el sector formal
Ahorro promedio en gastos de transporte debido a la Tarifa Social como porcentaje del gasto no alimentario de los hogares de menores ingresos
Beneficiarios de Becas Progresar en el nivel superior que aprueban al menos 50% de las materias requeridas según su plan de estudios","%
%
%","+Empleabilidad de población vulnerable mejorada
+Regularidad educativa entre jóvenes de 18 a 24 años mantenida
+Acceso al servicio de transporte público por parte de la población vulnerable aumentado
+Sostenibilidad de programas de transferencias a población vulnerable","+Titulares de Hacemos Futuro que acreditaron la finalización de cursos de formación laboral integral en los últimos 12 meses
+Titulares de Hacemos Futuro con secundario incompleto que asistieron a un establecimiento educativo en los últimos 12 meses
+Beneficiarios de las Becas Progresar en el nivel superior que mantienen la regularidad al finalizar el ciclo lectivo
+Cobertura a nivel nacional del subsidio social a la tarifa de transporte a través del SUBE
+Hogares cuyos ingresos caen por debajo de la línea de pobreza que reciben transferencias de la Tarjeta Alimentar, en el marco del proyecto","+%
+%
+%
+%
+%","+Reporte del MSDS con base en datos administrativos de las instituciones homologadas y/o los certificados presentados por los titulares en ANSES
+Reporte del MSDS en base a los certificados presentados por los titulares en ANSES.
+Reporte del MECCT en base a información administrativa de las universidades e instituciones de educación terciaria a nivel nacional
+Reporte del Consejo Nacional de Coordinación de Políticas Sociales (CNCPS) en base a datos administrativos del universo de beneficiarios potenciales.
+NA",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
AR-L1326,2022,"Immediate Public Health Response Project en the context of the COVID-19 Pandemic to contain, control and mitigate its effect in health service provision in Argentina","AR-L1326 - Immediate Public Health Response Project en the context of the COVID-19 Pandemic to contain, control and mitigate its effect in health service provision in Argentina","+Efectos indirectos de la pandemia sobre la salud mitigados
+Reducción de la morbilidad y mortalidad por COVID-19","Porcentaje de personas con cobertura efectiva de salud dentro de la población con cobertura pública exclusiva en salud
Muertes por COVID-19
Casos confirmados de COVID-19","Porcentaje
Número
Número","+Conducción de la respuesta a nivel del país fortalecida
+Detección y seguimiento de los casos mejorada
+Esfuerzos para la interrupción de la cadena de transmisión de la enfermedad apoyados
+Capacidad de provisión de servicios mejorada","+Mecanismo de coordinación multisectorial para COVID-19 activado
+Porcentaje de activadades iniciadas como parte del Plan de Respuesta Integrada a la pandemia COVID-19
+Número de laboratorios con capacidad para procesar muestras COVID-19 que se incorporan a la Red de Influenza de Laboratorios
+Porcentaje de boletines epidemiológicos emitidos semanalmente durante el período de vigencia de la emergencia sanitaria por COVID-19
+Número de laboratorios de la Red Nacional de Laboratorios acreditados en procesos de calidad
+Número de trabajadores de la salud con competencias vinculadas a la prevención y protección ante COVID-19 con enfoque intercultural
+Número de municipios del Programa Municipios Saludables con proyectos presentados sobre comunicación a la población sobre COVID-19
+Número de personas de grupos priorizados vacunadas contra COVID-19
+Porcentaje de jurisdicciones con capacidad de atención ampliada para atención de pacientes con COVID-19
+Porcentaje de camas disponibles en unidades de terapia intensiva (promedio anual a nivel nacional)
+Porcentaje de jurisdicciones que tienen formalizada una red integrada e integral de servicios de salud (RIISS) COVID-19
+Porcentaje de establecimientos de salud públicos con imágenes digitales integradas al sistema de Historia Clínica Digital
+Porcentaje de jurisdicciones que implementan programas de telemedicina priorizados por el Ministerio de Salud
+Porcentaje de las recetas en el primer nivel de atención que requieren una prescripción medicamentosa que se obtiene a través de REMEDIAR
+Porcentaje de establecimientos de salud públicos con imágenes digitales
+Numero de personas que reciben tratamiento con medicamentos esenciales
+Porcentaje de jurisdicciones que utilizan la plataforma de Telesalud","+Documento protocolo
+Porcentaje
+Número
+Porcentaje
+Número
+Personas
+Municipios
+# of beneficiaries
+Porcentaje
+Porcentaje
+Porcentaje
+Porcentaje
+Porcentaje
+Porcentaje
+Porcentaje
+# of beneficiaries
+Porcentaje","+Plan de Respuesta Integrada a la pandemia COVID-19
+Plan de Respuesta Integrada a la pandemia COVID-19
+Sistema de reporte de Agencia Nacional de Laboratorios e Institutos de Salud (ANLIS)
+Sitio Web del Ministerio de Salud de la Nación
+Sistema de reporte de Agencia Nacional de Laboratorios e Institutos de Salud (ANLIS)
+Reporte del Ministerio de Salud
+Sistema de reporte del Programa Municipios Saludables
+Reporte del Ministerio de Salud generado a través del sistema NOMIVAC
+Sistema de reporte REDES y reportes de la Dirección Nacional de Recursos Físicos.
+Sistema Integrado de Información Sanitaria Argentino (SISA)
+Reporte de REDES a partir del Acuerdo de Gestión firmados y/o normativas jurisdiccionales que definan roles y responsabilidades
+Sistema Integrado de Información Sanitaria Argentino (SISA)
+Sistema de Reportes de la Coordinación de Telesalud
+Sistema Integrado de reportes de logística y medicamentos, REMEDIAR
+SISA
+Sistema Integrado de reportes de logística y medicamentos, REMEDIAR
+Reportes de la Plataforma de Telesalud",TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
AR-L1331,2020,,AR-L1331 - NA,+Contribuir a asegurar niveles mínimos de calidad de vida de las personas vulnerables frente a la crisis causada por la pandemia de COVID-19.,Familias titulares de la Tarjeta Alimentar protegidas de caer en pobreza extrema en 2021,Porcentaje,+Apoyar niveles mínimos de ingreso de personas afectadas por la pandemia,"+Hogares cuyos ingresos caen por debajo de la línea de pobreza que reciben transferencias de la Tarjeta Alimentar, en el marco del proyecto",+Porcentaje,+Evaluación basada en pruebas y solución,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
AR-L1340,2021,Program for Strengthening and Integration of Health Networks in the Province of Buenos Aires - PROFIR II,AR-L1340 - Program for Strengthening and Integration of Health Networks in the Province of Buenos Aires - PROFIR II,+Mejorar la accesibilidad y la cobertura efectiva de los servicios públicos de salud para la población de la PBA,"Promedio anual del porcentaje mensual de ocupación de camas de terapia intensiva por COVID-19
Porcentaje de personas con cobertura efectiva básica en los 52 municipios del interior de la provincia
Porcentaje de personas cronificadas externadas de instituiciones de salud mental (hospitales monovalentes)
Correspondencia de triage de radio-operador con triage médico","% de camas
% de personas
% de pacientes
% de correspondencia de los triage realizados","+1. Mejorar la accesibilidad y resolutividad de los servicios públicos de salud del primer nivel de atención
+2. Mejorar la efectividad e integración de redes de servicios de salud
+3. Ampliar la capacidad prestacional para la prevención, detección y atención de COVID-19","+Centros de Atención Primaria de la Salud (CAPS) que cumplen con estándares de calidad
+Porcentaje de barrios populares de los 20 municipios del Área Metropolitana de Buenos Aires (AMBA) con mayor vulnerabilidad que reciben operativos territoriales de unidades móviles de salud
+Municipios del AMBA con comunidades indígenas que reciben al menos 8 operativos territoriales de unidades móviles de salud al año
+Porcentaje de personal de los 52 nuevos CAPS que recibe la certificación en perspectiva y equidad de género en el cuidado de la salud
+Centros Comunitarios de Salud Mental integrados en red y funcionando de acuerdo con estándares de calidad
+Unidades Residenciales integradas en red y funcionando de acuerdo con estándares de calidad
+Porcentaje de personas que recibieron atención de emergencia cuyos registros cumplen con criterios de calidad
+Nodo de segundo Nivel de atención co gestionado entre la Provincia y el Municipio funcionando
+Porcentaje de Referencias con contrarreferencia registradas en el policlínico
+Porcentaje de diagnósticos por imagen finalizados oportunamente
+Sistema de gestión unificado de medicamentos e insumos implementado
+Medicamentos solicitados al banco de drogas oncológicas que están disponibles dentro de 30 días para la dispensa
+Porcentaje de población objetivo actual con esquema de vacunación COVID-19 completa
+Tiempo de entrega de resultado por testeo COVID-19","+Número de CAPS
+% de barrios populares por año
+Número de municipios del AMBA con comunidades indígena
+% de personas
+Número de Centros Comunitarios de Salud Mental
+Número de Unidades Residenciales Provinciales
+% de personas que requirieron un despacho de emergencia
+Número de nodos
+% de referencias con contrareferencia
+% de diag . por imagen realizados a nivel central
+Número de sistemas
+% de medicamentos
+% de personas
+Días para la entrega del resultado","+Informe de auditoría técnica
+Informe de auditoría técnica
+Informe de la Dirección de Salud Comunitaria
+Informe de la UFSS y de la Dirección Provincial de Equidad de Género en Salud
+Informe de auditoría técnica
+Informe de auditoría técnica
+Informe emitido por el sistema centralizado de despachos y traslados
+Informe de auditoría de la dirección de infraestructura
+Documento de evaluación de piloto
+Reporte sistema interpretación de imagen
+Informe de auditoría técnica
+Reporte generado por el Sistema de Información QLIK
+Registro Federal de Vacunación Nominalizado (NOMIVAC)
+Sistema Integrado de Información Sanitaria Argentino (SISA)",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
BH-G0004,2021,,BH-G0004 - NA,+To support the strengthening of The Bahamas health system to meet the population’s health needs,"Percentage of hypertensive patiens with blood pressure controlled
Percentage of diabetes patients with blood glucose controlled.
Rate of ambulatory care sensitive hospitalizations","Percentage
Percentage
Rate","+To integrate primary and secondary care services that DPH, PHA, NHIA deliver
+To increase health services efficiency
+To improve access, coverage, and quality of community, ambulatory, and hospital services through a person and community centered model of care","+Compliance rate with referrals guidelines for NCDs between primary and secondary/ tertiary care levels
+Percentage of primary health care personnel (medical doctors and nurses) trained in HEARTS protocol
+Electronic Medical Record Information System implemented in Primary Health Care Clinics operated by the Department of Public Health
+Number of partner agencies with information systems that are connected and/or integrated with health information exchange
+Data from primary health care clinics available in a central repository accessible by the Ministry of Health to support the calculation of key indicators.
+Number of beneficiaries of the digital health technology
+% of personnel trained that is certified to provide care according to protocol to gender-based violence victims
+% of victims of domestic violence receiving tele-health and in-person counseling services
+Number of beneficiaries of new and retrofitted clinics with enhanced resilience to natural hazards and climate change","+%
+%
+%
+Number
+%
+# of beneficiaries
+%
+%
+# of beneficiaries","+Electronic and paper clinical registries at primary care and hospital settings
+MoH and PHA HR Training records; NHIA Physicians provider profile
+Use and satisfaction of EHR-S Satisfaction survey
+Annual IS4H report
+Report from central repository system with names of clinics providing information
+Progress reports of the implementation of the ISH4
+implementation audits
+EHR/paper records data analysis
+Public Health and Health Care services reports and statistics of the Ministry of Health and Wellness",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
BH-L1053,2021,Programme to Support the Health System Strengthening of The Bahamas,BH-L1053 - Programme to Support the Health System Strengthening of The Bahamas,+To support the strengthening of The Bahamas health system to meet the population’s health needs,"Mortality rate of cardiovascular

disease
Percentage of diabetes patients with blood glucose controlled.
Percentage of hypertensive patiens with blood pressure controlled
Mortality rate of cardiovascular

disease
Rate of ambulatory care sensitive hospitalizations","Mortality rate per 100,000
Percentage
Percentage
Mortality rate per 100,000
Rate","+To integrate primary and secondary care services that DPH, PHA, NHIA deliver
+To increase health services efficiency
+To improve access, coverage, and quality of community, ambulatory, and hospital services through a person and community centered model of care","+Compliance rate with referrals guidelines for NCDs between primary and secondary/ tertiary care levels
+Percentage of primary health care personnel (medical doctors and nurses) trained in HEARTS protocol
+Electronic Medical Record Information System implemented in Primary Health Care Clinics operated by the Department of Public Health
+Number of partner agencies with information systems that are connected and/or integrated with health information exchange
+Data from primary health care clinics available in a central repository accessible by the Ministry of Health to support the calculation of key indicators.
+Number of beneficiaries of the digital health technology
+% of personnel trained that is certified to provide care according to protocol to gender-based violence victims
+% of victims of domestic violence receiving tele-health and in-person counseling services
+Number of beneficiaries of new and retrofitted clinics with enhanced resilience to natural hazards and climate change
+Number of beneficiaries of new and retrofitted clinics with enhanced resilience to natural hazards and climate change
+Number of partner agencies with information systems that are connected and/or integrated with health information exchange","+%
+%
+%
+Number
+%
+# of beneficiaries
+%
+%
+# of beneficiaries
+Number
+%","+Electronic and paper clinical registries at primary care and hospital settings
+MoH and PHA HR Training records; NHIA Physicians provider profile
+Use and satisfaction of EHR-S Satisfaction survey
+Annual IS4H report
+Report from central repository system with names of clinics providing information
+Progress reports of the implementation of the ISH4
+implementation audits
+EHR/paper records data analysis
+Public Health and Health Care services reports and statistics of the Ministry of Health and Wellness
+Project implementation audits
+Annual IS4H report",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
BH-L1055,2020,Program to support the Health Sector to Contain and Control Coronavirus and to Mitigate its effects in Service Provision,BH-L1055 - Program to support the Health Sector to Contain and Control Coronavirus and to Mitigate its effects in Service Provision,+Help reduce the morbidity and mortality caused by COVID-19 and mitigate indirect impacts of the epidemic on health,"Confirmed cases of COVID-19
Number of Deaths from Covid-19","Number of patients with Covid-19
Number of deaths","+Strengthening response leadership at country level
+Improving case detection and monitoring
+Supporting initiatives to break the chain of transmission of the illness
+Improving service delivery capacity","+Emergency Operations Committee strengthened that also coordinates multisectoral mechanisms
+% of activities as per WHO guidelines started as part of country’s Preparedness and Response Plan
+% of laboratories with diagnostic capacity for COVID-19
+% epidemiological bulletins issued weekly
+Number of people in the prioritized groups who have been vaccinated against COVID-19
+COVID-19 vaccine deployment plan developed
+% of points of entry with epidemiological surveillance as per country standards
+% of acute healthcare facilities with triage capacity
+% of acute healthcare facilities with isolation capacity
+% of hospitalized confirmed cases receiving treatment with supportive care according to country protocol","+Number of comittees
+%
+%
+%
+# of beneficiaries
+Plan
+%
+%
+%
+# of beneficiaries","+Report of the MOH with the description of the improved structure and functions of the National Coordination Committee
+Preparedness and response plan of the MOH and technical support documents
+Reports of the MOH with the productivity of the laboratories
+COVID-19 Dashboard of the MOH
+MOH reports of the progress of the COVID-19 vaccination plan
+MOH reports of the progress of the COVID-19 vaccination plan
+MOH Report on the progress of the response plan for COVID-19
+MOH Report on the progress of the response plan for COVID-19
+Reports of the MOH regarding the progress of the works to increase the isolation capacity
+Reports of specific surveys of an external evaluation agency",TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
