"","Project Number","Baseline Year","Operation Name","Long.op.name","objectives","objectives_indicators","objectives_units","health","malaria","covid","calidad","acceso","morbilidad","eficiencia","equidad"
"1","AR-L1007",2009,NA,"AR-L1007 - NA","+Mortalidad infantil en la Provincia de Buenos Aires reducida","Mortalidad de menores de 1 año en la Provincia de Buenos Aires","muertes por mil nacidos vivos",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"2","AR-L1020",2009,NA,"AR-L1020 - NA","+Hospitalizaciones evitables relacionadas con hipertensión y diabetes reducidas","Hospitalizaciones relacionadas con hipertensión arterial y diabetes.","Porcentaje",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"3","AR-L1118",2011,NA,"AR-L1118 - NA","+Acceso a la oferta de estimulación temprana para niños y niñas en situación de vulnerabilidad incrementado.
+Niños y niñas alcanzan un nivel mínimo adecuado de competencias cognitivas y socioemocionales a los 5 años de edad.","Niños de 2 a 4 años de edad del primer quintil de ingresos que asiste a un Centro de Desarrollo Infantil o a un Jardín de Infantes.
Niños y niñas de entre 2 y 5 años de edad que alcanzan un nivel mínimo en una prueba estandarizada de desarrollo cognitivo y socio-emocional.","Porcentaje
Porcentaje",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"4","AR-L1142",2007,"Multiphase Primary Health Care Program for Managing Chronic Non-communicable Dis","AR-L1142 - Multiphase Primary Health Care Program for Managing Chronic Non-communicable Dis","+Disminución de tasa de mortalidad por eventos cardio y cerebrovasculares","Tasa de Mortalidad por eventos cardiovasculares y cerebrovasculares
Tasa de Mortalidad ajustada por edad por eventos cardiovasculares","Porcentaje
tasa",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"5","AR-L1196",2015,"MULTIPHASE PRIMARY HEALTH CARE PROGRAM FOR MANAGING CHRONIC NONCOMMUNICABLE DISEASES","AR-L1196 - MULTIPHASE PRIMARY HEALTH CARE PROGRAM FOR MANAGING CHRONIC NONCOMMUNICABLE DISEASES","+Contribuir a la reducción de la morbimortalidad por enfermedades crónicas no transmisibles en Argentina, con énfasis en la población con cobertura pública exclusiva","Personas entre 50 y 75 años con diagnóstico de lesiones precancerosas o cáncer colorrectal estadio temprano , sobre el total de personas tamizadas del mismo rango etario con diagnóstico de lesiones precancerosas o cáncer colorrectal .
Hipertensos entre 40 y 65 años con tratamiento farmacológico, sobre el total de hipertensos del mismo rango etario
Mujeres entre 30 y 64 años con diagnóstico de lesión precancerosa de alto grado o cáncer cervicouteríno en estadio temprano , sobre el estimado del total de mujeres del mismo rango etario con lesiones precancerosas y cáncer cervicouterino .
Tiempo promedio que transcurre desde la sospecha diagnóstica de cáncer hasta el inicio del tratamiento definitivo.
Diabéticos entre 40 y 65 años con tratamiento farmacológico, sobre el total de diabéticos del mismo rango etario.
Personas de entre 40 y 65 años que utilizaron servicios de salud en el último mes, sobre el total de personas en el mismo rango etario y periodo de tiempo que utilizaron dichos servicios o que no lo hicieron habiendo tenido síntomas o problemas de salud
Mujeres entre 50 y 69 años con diagnóstico de cáncer de mama en estadio temprano , sobre el total de mujeres registradas del mismo rango etario con diagnóstico de cáncer de mama.","Porcentaje
Porcentaje
Porcentaje
Días
Porcentaje
Porcentaje
Porcentaje",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"6","AR-L1254",2012,NA,"AR-L1254 - NA","+Mejora en indicadores de desarrollo infantil","Niños de 0 a 48 meses de edad que asisten a EPI fortalecidos por el Programa y logran un nivel de desarrollo esperable para su edad","%",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"7","AR-L1302",2017,NA,"AR-L1302 - NA","+Aumento del empleo registrado en el sector formal
+Aumento del porcentaje de jóvenes que aprueban las materias según el plan de estudios
+Mayor ahorro en transporte como porcentaje del gasto no alimentario","Titulares de Hacemos Futuro que acceden a un empleo registrado en el sector formal
Beneficiarios de Becas Progresar en el nivel superior que aprueban al menos 50% de las materias requeridas según su plan de estudios
Ahorro promedio en gastos de transporte debido a la Tarifa Social como porcentaje del gasto no alimentario de los hogares de menores ingresos","%
%
%",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"8","AR-L1309",2017,NA,"AR-L1309 - NA","+Aumento del empleo registrado en el sector formal
+Mayor ahorro en transporte como porcentaje del gasto no alimentario
+Aumento del porcentaje de jóvenes que aprueban las materias según el plan de estudios","Titulares de Hacemos Futuro que acceden a un empleo registrado en el sector formal
Ahorro promedio en gastos de transporte debido a la Tarifa Social como porcentaje del gasto no alimentario de los hogares de menores ingresos
Beneficiarios de Becas Progresar en el nivel superior que aprueban al menos 50% de las materias requeridas según su plan de estudios","%
%
%",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"9","AR-L1326",2022,"Immediate Public Health Response Project en the context of the COVID-19 Pandemic to contain, control and mitigate its effect in health service provision in Argentina","AR-L1326 - Immediate Public Health Response Project en the context of the COVID-19 Pandemic to contain, control and mitigate its effect in health service provision in Argentina","+Reducción de la morbilidad y mortalidad por COVID-19
+Efectos indirectos de la pandemia sobre la salud mitigados","Muertes por COVID-19
Casos confirmados de COVID-19
Casos confirmados de COVID-19
Porcentaje de personas con cobertura efectiva de salud dentro de la población con cobertura pública exclusiva en salud
Muertes por COVID-19","Número
Número
Número
Porcentaje
Número",TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
"10","AR-L1331",2020,NA,"AR-L1331 - NA","+Contribuir a asegurar niveles mínimos de calidad de vida de las personas vulnerables frente a la crisis causada por la pandemia de COVID-19.","Familias titulares de la Tarjeta Alimentar protegidas de caer en pobreza extrema en 2021","Porcentaje",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"11","AR-L1340",2021,"Program for Strengthening and Integration of Health Networks in the Province of Buenos Aires - PROFIR II","AR-L1340 - Program for Strengthening and Integration of Health Networks in the Province of Buenos Aires - PROFIR II","+Mejorar la accesibilidad y la cobertura efectiva de los servicios públicos de salud para la población de la PBA","Correspondencia de triage de radio-operador con triage médico
Porcentaje de personas con cobertura efectiva básica en los 52 municipios del interior de la provincia
Promedio anual del porcentaje mensual de ocupación de camas de terapia intensiva por COVID-19
Porcentaje de personas cronificadas externadas de instituiciones de salud mental (hospitales monovalentes)","% de correspondencia de los triage realizados
% de personas
% de camas
% de pacientes",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"12","AR-L1358",2020,"First Individual Operation of the Program for the Integration of the Argentine Health System","AR-L1358 - First Individual Operation of the Program for the Integration of the Argentine Health System","+Contribuir a la reducción de la mortalidad prematura y al cierre de brechas entre jurisdicciones argentinas en las líneas de cuidado priorizadas.","AVPP por enfermedades hipertensivas (HTA)
AVPP por cáncer cérvico uterino (CCU)
Coeficiente de variación (CV) de la distribución provincial de los AVPP por diabetes mellitus
AVPP por trastornos mentales y del comportamiento (TM)
CV de la distribución provincial de los AVPP por TM
CV de la distribución provincial de los AVPP por HTA
Años de vida potencial perdidos (AVPP) por diabetes mellitus
CV de la distribución provincial de los AVPP por causa CCU","Años cada 100.000 habitantes
Años cada 100.000 habitantes
Sin unidad
Años cada 100.000 habitantes
Sin unidad
Sin unidad
Años cada 100.000 habitantes
Sin unidad",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"13","AR-L1366",2023,NA,"AR-L1366 - NA","+Reducir los niveles de exclusión social de las PCD","Tasa de alfabetización en PCD
Tasa de empleo de las PCD","Porcentaje
Porcentaje",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"14","BH-G0004",2021,NA,"BH-G0004 - NA","+To support the strengthening of The Bahamas health system to meet the population’s health needs","Percentage of hypertensive patiens with blood pressure controlled
Percentage of diabetes patients with blood glucose controlled.
Rate of ambulatory care sensitive hospitalizations","Percentage
Percentage
Rate",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"15","BH-L1030",2012,NA,"BH-L1030 - NA","+Human capital of the poorest families improved","Body Mass Index Grade 1
Body Mass Index Grade 6
Body Mass Index Grade 10
Secondary graduation rates for the 16-19 age group among beneficiaries
% of beneficiaries in lowest decile
Narrowing of poverty gap","Kg/m2
Kg/m2
Kg/m2
Percentage
Percentage
Percentage",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"16","BH-L1053",2021,"Programme to Support the Health System Strengthening of The Bahamas","BH-L1053 - Programme to Support the Health System Strengthening of The Bahamas","+To support the strengthening of The Bahamas health system to meet the population’s health needs","Percentage of hypertensive patiens with blood pressure controlled
Mortality rate of cardiovascular
disease
Percentage of diabetes patients with blood glucose controlled.
Mortality rate of cardiovascular
disease
Rate of ambulatory care sensitive hospitalizations","Percentage
Mortality rate per 100,000
Percentage
Mortality rate per 100,000
Rate",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"17","BH-L1055",2020,"Program to support the Health Sector to Contain and Control Coronavirus and to Mitigate its effects in Service Provision","BH-L1055 - Program to support the Health Sector to Contain and Control Coronavirus and to Mitigate its effects in Service Provision","+Help reduce the morbidity and mortality caused by COVID-19 and mitigate indirect impacts of the epidemic on health","Confirmed cases of COVID-19
Number of Deaths from Covid-19","Number of patients with Covid-19
Number of deaths",TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
"18","BL-L1036",2020,"Program to Support the Health Sector to Contain and Control Coronavirus and to Mitigate its Effect on Service Provision","BL-L1036 - Program to Support the Health Sector to Contain and Control Coronavirus and to Mitigate its Effect on Service Provision","+Contribute to the reduction of the morbidity and mortality caused by COVID-19 and to mitigate other indirect impacts of the pandemic","Confirmed cases of COVID-19
Number of Deaths from Covid-19","Number
Number",TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
"19","BL-U0001",2020,NA,"BL-U0001 - NA","+Contribute to the reduction of the morbidity and mortality caused by COVID-19 and to mitigate indirect impacts of the pandemic.","Number of Deaths from Covid-19
Confirmed cases of COVID-19","Number
Number",TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
