"","Project Number","Country Name.x","objectives","outcomes","Long.op.name"
"2","AR-L1326","Argentina","+Efectos indirectos de la pandemia sobre la salud mitigados","Capacidad de provisión de servicios mejorada","AR-L1326 - Immediate Public Health Response Project en the context of the COVID-19 Pandemic to contain, control and mitigate its effect in health service provision in Argentina"
"3","AR-L1326","Argentina","+Efectos indirectos de la pandemia sobre la salud mitigados","Detección y seguimiento de los casos mejorada","AR-L1326 - Immediate Public Health Response Project en the context of the COVID-19 Pandemic to contain, control and mitigate its effect in health service provision in Argentina"
"4","AR-L1326","Argentina","+Efectos indirectos de la pandemia sobre la salud mitigados","Esfuerzos para la interrupción de la cadena de transmisión de la enfermedad apoyados","AR-L1326 - Immediate Public Health Response Project en the context of the COVID-19 Pandemic to contain, control and mitigate its effect in health service provision in Argentina"
"5","AR-L1326","Argentina","+Efectos indirectos de la pandemia sobre la salud mitigados","Conducción de la respuesta a nivel del país fortalecida","AR-L1326 - Immediate Public Health Response Project en the context of the COVID-19 Pandemic to contain, control and mitigate its effect in health service provision in Argentina"
"6","AR-L1326","Argentina","+Reducción de la morbilidad y mortalidad por COVID-19","Capacidad de provisión de servicios mejorada","AR-L1326 - Immediate Public Health Response Project en the context of the COVID-19 Pandemic to contain, control and mitigate its effect in health service provision in Argentina"
"7","AR-L1326","Argentina","+Reducción de la morbilidad y mortalidad por COVID-19","Detección y seguimiento de los casos mejorada","AR-L1326 - Immediate Public Health Response Project en the context of the COVID-19 Pandemic to contain, control and mitigate its effect in health service provision in Argentina"
"8","AR-L1326","Argentina","+Reducción de la morbilidad y mortalidad por COVID-19","Esfuerzos para la interrupción de la cadena de transmisión de la enfermedad apoyados","AR-L1326 - Immediate Public Health Response Project en the context of the COVID-19 Pandemic to contain, control and mitigate its effect in health service provision in Argentina"
"9","AR-L1326","Argentina","+Reducción de la morbilidad y mortalidad por COVID-19","Conducción de la respuesta a nivel del país fortalecida","AR-L1326 - Immediate Public Health Response Project en the context of the COVID-19 Pandemic to contain, control and mitigate its effect in health service provision in Argentina"
"10","AR-L1340","Argentina","+Mejorar la accesibilidad y la cobertura efectiva de los servicios públicos de salud para la población de la PBA","2. Mejorar la efectividad e integración de redes de servicios de salud","AR-L1340 - Program for Strengthening and Integration of Health Networks in the Province of Buenos Aires - PROFIR II"
"11","AR-L1340","Argentina","+Mejorar la accesibilidad y la cobertura efectiva de los servicios públicos de salud para la población de la PBA","3. Ampliar la capacidad prestacional para la prevención, detección y atención de COVID-19","AR-L1340 - Program for Strengthening and Integration of Health Networks in the Province of Buenos Aires - PROFIR II"
"12","AR-L1340","Argentina","+Mejorar la accesibilidad y la cobertura efectiva de los servicios públicos de salud para la población de la PBA","1. Mejorar la accesibilidad y resolutividad de los servicios públicos de salud del primer nivel de atención","AR-L1340 - Program for Strengthening and Integration of Health Networks in the Province of Buenos Aires - PROFIR II"
