"","Project Number","Baseline Year.x","Baseline Year.y","Operation Name","Long.op.name","objectives","objectives_indicators","outcomes","outcomes_indicators","outcomes_units","outcomes_means","health","malaria","covid","acceso","morbilidad","eficiencia","equidad","calidad_name","calidad_g_objective","calidad_outcome","calidad_outcome_ind","not.a.loan"
"1","AR-L1196",2013,2015,"MULTIPHASE PRIMARY HEALTH CARE PROGRAM FOR MANAGING CHRONIC NONCOMMUNICABLE DISEASES","AR-L1196 - MULTIPHASE PRIMARY HEALTH CARE PROGRAM FOR MANAGING CHRONIC NONCOMMUNICABLE DISEASES","+Contribuir a la reducción de la morbimortalidad por enfermedades crónicas no transmisibles en Argentina, con énfasis en la población con cobertura pública exclusiva","Personas entre 50 y 75 años con diagnóstico de lesiones precancerosas o cáncer colorrectal estadio temprano , sobre el total de personas tamizadas del mismo rango etario con diagnóstico de lesiones precancerosas o cáncer colorrectal .
Hipertensos entre 40 y 65 años con tratamiento farmacológico, sobre el total de hipertensos del mismo rango etario
Mujeres entre 30 y 64 años con diagnóstico de lesión precancerosa de alto grado o cáncer cervicouteríno en estadio temprano , sobre el estimado del total de mujeres del mismo rango etario con lesiones precancerosas y cáncer cervicouterino .
Tiempo promedio que transcurre desde la sospecha diagnóstica de cáncer hasta el inicio del tratamiento definitivo.
Diabéticos entre 40 y 65 años con tratamiento farmacológico, sobre el total de diabéticos del mismo rango etario.
Personas de entre 40 y 65 años que utilizaron servicios de salud en el último mes, sobre el total de personas en el mismo rango etario y periodo de tiempo que utilizaron dichos servicios o que no lo hicieron habiendo tenido síntomas o problemas de salud
Mujeres entre 50 y 69 años con diagnóstico de cáncer de mama en estadio temprano , sobre el total de mujeres registradas del mismo rango etario con diagnóstico de cáncer de mama.","+Incrementar el acceso efectivo de la población con cobertura pública exclusiva a servicios de tamizaje para la detección oportuna de enfermedades crónicas o del riesgo de contraerlas
+Incrementar las competencias de los efectores del Primer Nivel de Atención para la detección oportuna o el tratamiento de enfermedades crónicas","+Plan de implementación de una vacuna contra la COVID-19 elaborado o fortalecido
+Personal del Primer Nivel de Atención que demuestra tener al menos 80% de los conocimientos en estrategias de mejora de los cuidados de salud
+Personas entre 40 y 65 años que alguna vez tuvieron una medición de glucemia sobre el total de personas del mismo grupo etario.
+Mujeres entre 50 y 69 años con al menos una mamografía en los últimos 24 meses, sobre el total de mujeres del mismo grupo etario
+Mujeres entre 30 y 64 años con al menos un tamizaje de cáncer cervicouterino según guías de práctica clínica , sobre el total de mujeres del mismo rango etario
+Personas entre 50 y 75 años con al menos un tamizaje de cáncer colorrectal en los últimos dos años, sobre el total de personas del mismo rango etario en las provincias
+Porcentaje de las consultas en el Primer Nivel de Atención que requieren una prescripción medicamentosa que se obtiene a través de REMEDIAR.
+Personas entre 40 y 65 años que reportan haber tenido al menos una medición de presión arterial en los últimos dos años sobre el total de personas del mismo grupo etario
+Médicos del Primer Nivel de Atención que demuestran tener al menos 60% de los conocimientos en Terapéutica Racional de Medicamentos
+Agentes sanitarios que demuestran tener al menos 80% de los conocimientos en prevención y detección temprana de cáncer en el Primer Nivel de Atención
+Personas a las que se realiza al menos un tamizaje para riesgo cardiovascular o cánceres de mama, cervicouterino y colorrectal en CAPS cubiertos por el programa
+Porcentaje de personas mayores de 40 años con CPE con RCGV mayor de 10, que efectuaron consultas de seguimiento en el último año","+Plan
+Personas
+Porcentaje
+Porcentaje
+Porcentaje
+Porcentaje
+Porcentaje
+Porcentaje
+Personas
+Personas
+# of beneficiaries
+Porcentaje","+Fuente de la información: Ministerio de Salud
+Informe de evaluación de capacitaciones
+Informe de evaluación de impacto del Programa REDES
+Reportes del Sistema de Información de Tamizaje
+Reportes del Sistema de Información de Tamizaje
+Reportes del Sistema de Información de Tamizaje
+Sistema Integrado de reportes de logística y medicamentos, REMEDIAR.
+Informe de evaluación de impacto del Programa REDES
+Informe de evaluación de capacitaciones
+Informes de evaluación de capacitaciones
+Informes semestrales
+Sistema de Información Sanitario Argentino (SISA)",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"2","AR-L1254",2012,2012,NA,"AR-L1254 - NA","+Mejora en indicadores de desarrollo infantil","Niños de 0 a 48 meses de edad que asisten a EPI fortalecidos por el Programa y logran un nivel de desarrollo esperable para su edad","+Incremento en el acceso a servicios públicos de desarrollo infantil de calidad
+Mejora en la calidad de servicios públicos de desarrollo infantil
+Fortalecimiento de competencias de técnicos, docentes, directores y supervisores en Educación Inicial","+Niños que asisten a un EPI con proyecto de fortalecimiento de calidad financiado por el programa finalizado
+Niños beneficiarios del Programa Primeros Años en su modalidad de acompañamiento familiar
+Alumnos que asisten a las nuevas salas de jardines construidos o ampliados por el programa
+Tasa neta de matriculación a Educación Inicial para niños de 3 y 4 años
+EPI fortalecidos por el Programa cuyo estado de condición edilicia es adecuado
+Jardines beneficiados por el Programa que alcanzan un puntaje mínimo de calidad de los insumos para el proceso educativo
+Niños de 0 a 4 años beneficiarios del Programa Primeros Años que compartieron con algún miembro adulto de su hogar cuatro o más actividades promotoras del desarrollo en la primera infancia en los últimos tres días
+Niños de 0 a 4 años beneficiarios del Programa Primeros Años que compartieron con algún miembro adulto varón de su hogar cuatro o más actividades promotoras del desarrollo en la primera infancia en los últimos tres días
+Profesionales técnicos, supervisores, directivos y docentes capacitados para la gestión de estrategias integrales para la primera infancia
+Supervisores, directores y docentes certificados en planeamiento y gestión de la innovación
+Docentes certificados en modelos pedagógicos innovadores para el nivel inicial","+Children (#)
+niños
+# of students
+%
+%
+%
+%
+%
+Profesionales
+supervisores, directores y docentes
+docentes","+Reporte del Sistema de Espacios de Primera Infancia
+Informes semestrales
+Reporte del Sistema Integral de Información Digital Educativa
+Informe de evaluación de impacto
+Reporte del Sistema de Espacios de Primera Infancia
+Informe de evaluación de impacto
+Informe de evaluación de impacto
+Informe de evaluación de impacto
+Informes del Ministerio de Educación, programa Escuela de Gobierno
+Informes del Instituto Nacional de Formación Docente
+Informes del Instituto Nacional de Formación Docente",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
"3","AR-L1302",2017,2017,NA,"AR-L1302 - NA","+Aumento del empleo registrado en el sector formal
+Aumento del porcentaje de jóvenes que aprueban las materias según el plan de estudios
+Mayor ahorro en transporte como porcentaje del gasto no alimentario","Titulares de Hacemos Futuro que acceden a un empleo registrado en el sector formal
Beneficiarios de Becas Progresar en el nivel superior que aprueban al menos 50% de las materias requeridas según su plan de estudios
Ahorro promedio en gastos de transporte debido a la Tarifa Social como porcentaje del gasto no alimentario de los hogares de menores ingresos","+Empleabilidad de población vulnerable mejorada
+Regularidad educativa entre jóvenes de 18 a 24 años mantenida
+Acceso al servicio de transporte público por parte de la población vulnerable aumentado","+Titulares de Hacemos Futuro con secundario incompleto que asisten a un establecimiento educativo.
+Beneficiarios de las Becas Progresar en el nivel superior que mantiene la regularidad al finalizar el ciclo lectivo
+Cobertura a nivel nacional del subsidio social a la tarifa de transporte
+Titulares de Hacemos Futuro que acreditaron la finalización de cursos de formación laboral integral.","+%
+%
+%
+%","+Reporte del MSDS en base a los certificados presentados por los titulares en ANSES.
+Reporte del MECCT en base a información administrativa de las universidades e instituciones de educación terciaria a nivel nacional.
+Reporte del Consejo Nacional de Coordinación de Políticas Sociales (CNCPS) en base a datos administrativos del universo de beneficiarios potenciales.
+Reporte del MSDS con base en datos administrativos de las instituciones homologadas y/o los certificados presentados por los titulares en ANSES.",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"4","AR-L1309",2017,2017,NA,"AR-L1309 - NA","+Aumento del empleo registrado en el sector formal
+Mayor ahorro en transporte como porcentaje del gasto no alimentario
+Aumento del porcentaje de jóvenes que aprueban las materias según el plan de estudios","Titulares de Hacemos Futuro que acceden a un empleo registrado en el sector formal
Ahorro promedio en gastos de transporte debido a la Tarifa Social como porcentaje del gasto no alimentario de los hogares de menores ingresos
Beneficiarios de Becas Progresar en el nivel superior que aprueban al menos 50% de las materias requeridas según su plan de estudios","+Empleabilidad de población vulnerable mejorada
+Regularidad educativa entre jóvenes de 18 a 24 años mantenida
+Acceso al servicio de transporte público por parte de la población vulnerable aumentado
+Sostenibilidad de programas de transferencias a población vulnerable","+Titulares de Hacemos Futuro que acreditaron la finalización de cursos de formación laboral integral en los últimos 12 meses
+Titulares de Hacemos Futuro con secundario incompleto que asistieron a un establecimiento educativo en los últimos 12 meses
+Beneficiarios de las Becas Progresar en el nivel superior que mantienen la regularidad al finalizar el ciclo lectivo
+Cobertura a nivel nacional del subsidio social a la tarifa de transporte a través del SUBE
+Hogares cuyos ingresos caen por debajo de la línea de pobreza que reciben transferencias de la Tarjeta Alimentar, en el marco del proyecto","+%
+%
+%
+%
+%","+Reporte del MSDS con base en datos administrativos de las instituciones homologadas y/o los certificados presentados por los titulares en ANSES
+Reporte del MSDS en base a los certificados presentados por los titulares en ANSES.
+Reporte del MECCT en base a información administrativa de las universidades e instituciones de educación terciaria a nivel nacional
+Reporte del Consejo Nacional de Coordinación de Políticas Sociales (CNCPS) en base a datos administrativos del universo de beneficiarios potenciales.
+NA",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"5","AR-L1326",2019,2022,"Immediate Public Health Response Project en the context of the COVID-19 Pandemic to contain, control and mitigate its effect in health service provision in Argentina","AR-L1326 - Immediate Public Health Response Project en the context of the COVID-19 Pandemic to contain, control and mitigate its effect in health service provision in Argentina","+Reducción de la morbilidad y mortalidad por COVID-19
+Efectos indirectos de la pandemia sobre la salud mitigados","Muertes por COVID-19
Casos confirmados de COVID-19
Casos confirmados de COVID-19
Porcentaje de personas con cobertura efectiva de salud dentro de la población con cobertura pública exclusiva en salud
Muertes por COVID-19","+Capacidad de provisión de servicios mejorada
+Detección y seguimiento de los casos mejorada
+Conducción de la respuesta a nivel del país fortalecida
+Esfuerzos para la interrupción de la cadena de transmisión de la enfermedad apoyados","+Porcentaje de camas disponibles en unidades de terapia intensiva (promedio anual a nivel nacional)
+Número de laboratorios con capacidad para procesar muestras COVID-19 que se incorporan a la Red de Influenza de Laboratorios
+Porcentaje de boletines epidemiológicos emitidos semanalmente durante el período de vigencia de la emergencia sanitaria por COVID-19
+Porcentaje de jurisdicciones que tienen formalizada una red integrada e integral de servicios de salud (RIISS) COVID-19
+Porcentaje de activadades iniciadas como parte del Plan de Respuesta Integrada a la pandemia COVID-19
+Porcentaje de establecimientos de salud públicos con imágenes digitales integradas al sistema de Historia Clínica Digital
+Porcentaje de jurisdicciones que implementan programas de telemedicina priorizados por el Ministerio de Salud
+Número de laboratorios de la Red Nacional de Laboratorios acreditados en procesos de calidad
+Mecanismo de coordinación multisectorial para COVID-19 activado
+Porcentaje de jurisdicciones con capacidad de atención ampliada para atención de pacientes con COVID-19
+Porcentaje de jurisdicciones que utilizan la plataforma de Telesalud
+Número de municipios del Programa Municipios Saludables con proyectos presentados sobre comunicación a la población sobre COVID-19
+Número de trabajadores de la salud con competencias vinculadas a la prevención y protección ante COVID-19 con enfoque intercultural
+Porcentaje de las recetas en el primer nivel de atención que requieren una prescripción medicamentosa que se obtiene a través de REMEDIAR
+Número de personas de grupos priorizados vacunadas contra COVID-19
+Numero de personas que reciben tratamiento con medicamentos esenciales
+Porcentaje de establecimientos de salud públicos con imágenes digitales","+Porcentaje
+Número
+Porcentaje
+Porcentaje
+Porcentaje
+Porcentaje
+Porcentaje
+Número
+Documento protocolo
+Porcentaje
+Porcentaje
+Municipios
+Personas
+Porcentaje
+# of beneficiaries
+# of beneficiaries
+Porcentaje","+Sistema Integrado de Información Sanitaria Argentino (SISA)
+Sistema de reporte de Agencia Nacional de Laboratorios e Institutos de Salud (ANLIS)
+Sitio Web del Ministerio de Salud de la Nación
+Reporte de REDES a partir del Acuerdo de Gestión firmados y/o normativas jurisdiccionales que definan roles y responsabilidades
+Plan de Respuesta Integrada a la pandemia COVID-19
+Sistema Integrado de Información Sanitaria Argentino (SISA)
+Sistema de Reportes de la Coordinación de Telesalud
+Sistema de reporte de Agencia Nacional de Laboratorios e Institutos de Salud (ANLIS)
+Plan de Respuesta Integrada a la pandemia COVID-19
+Sistema de reporte REDES y reportes de la Dirección Nacional de Recursos Físicos.
+Reportes de la Plataforma de Telesalud
+Sistema de reporte del Programa Municipios Saludables
+Reporte del Ministerio de Salud
+Sistema Integrado de reportes de logística y medicamentos, REMEDIAR
+Reporte del Ministerio de Salud generado a través del sistema NOMIVAC
+Sistema Integrado de reportes de logística y medicamentos, REMEDIAR
+SISA",TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"6","AR-L1331",2020,2020,NA,"AR-L1331 - NA","+Contribuir a asegurar niveles mínimos de calidad de vida de las personas vulnerables frente a la crisis causada por la pandemia de COVID-19.","Familias titulares de la Tarjeta Alimentar protegidas de caer en pobreza extrema en 2021","+Apoyar niveles mínimos de ingreso de personas afectadas por la pandemia","+Hogares cuyos ingresos caen por debajo de la línea de pobreza que reciben transferencias de la Tarjeta Alimentar, en el marco del proyecto","+Porcentaje","+Evaluación basada en pruebas y solución",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"7","AR-L1340",2020,2021,"Program for Strengthening and Integration of Health Networks in the Province of Buenos Aires - PROFIR II","AR-L1340 - Program for Strengthening and Integration of Health Networks in the Province of Buenos Aires - PROFIR II","+Mejorar la accesibilidad y la cobertura efectiva de los servicios públicos de salud para la población de la PBA","Correspondencia de triage de radio-operador con triage médico
Porcentaje de personas con cobertura efectiva básica en los 52 municipios del interior de la provincia
Promedio anual del porcentaje mensual de ocupación de camas de terapia intensiva por COVID-19
Porcentaje de personas cronificadas externadas de instituiciones de salud mental (hospitales monovalentes)","+2. Mejorar la efectividad e integración de redes de servicios de salud
+3. Ampliar la capacidad prestacional para la prevención, detección y atención de COVID-19
+1. Mejorar la accesibilidad y resolutividad de los servicios públicos de salud del primer nivel de atención","+Porcentaje de personas que recibieron atención de emergencia cuyos registros cumplen con criterios de calidad
+Nodo de segundo Nivel de atención co gestionado entre la Provincia y el Municipio funcionando
+Tiempo de entrega de resultado por testeo COVID-19
+Porcentaje de barrios populares de los 20 municipios del Área Metropolitana de Buenos Aires (AMBA) con mayor vulnerabilidad que reciben operativos territoriales de unidades móviles de salud
+Medicamentos solicitados al banco de drogas oncológicas que están disponibles dentro de 30 días para la dispensa
+Porcentaje de personal de los 52 nuevos CAPS que recibe la certificación en perspectiva y equidad de género en el cuidado de la salud
+Centros de Atención Primaria de la Salud (CAPS) que cumplen con estándares de calidad
+Unidades Residenciales integradas en red y funcionando de acuerdo con estándares de calidad
+Centros Comunitarios de Salud Mental integrados en red y funcionando de acuerdo con estándares de calidad
+Porcentaje de Referencias con contrarreferencia registradas en el policlínico
+Municipios del AMBA con comunidades indígenas que reciben al menos 8 operativos territoriales de unidades móviles de salud al año
+Sistema de gestión unificado de medicamentos e insumos implementado
+Porcentaje de diagnósticos por imagen finalizados oportunamente
+Porcentaje de población objetivo actual con esquema de vacunación COVID-19 completa","+% de personas que requirieron un despacho de emergencia
+Número de nodos
+Días para la entrega del resultado
+% de barrios populares por año
+% de medicamentos
+% de personas
+Número de CAPS
+Número de Unidades Residenciales Provinciales
+Número de Centros Comunitarios de Salud Mental
+% de referencias con contrareferencia
+Número de municipios del AMBA con comunidades indígena
+Número de sistemas
+% de diag . por imagen realizados a nivel central
+% de personas","+Informe emitido por el sistema centralizado de despachos y traslados
+Informe de auditoría de la dirección de infraestructura
+Sistema Integrado de Información Sanitaria Argentino (SISA)
+Informe de auditoría técnica
+Reporte generado por el Sistema de Información QLIK
+Informe de la UFSS y de la Dirección Provincial de Equidad de Género en Salud
+Informe de auditoría técnica
+Informe de auditoría técnica
+Informe de auditoría técnica
+Documento de evaluación de piloto
+Informe de la Dirección de Salud Comunitaria
+Informe de auditoría técnica
+Reporte sistema interpretación de imagen
+Registro Federal de Vacunación Nominalizado (NOMIVAC)",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"8","AR-L1358",2020,2020,"First Individual Operation of the Program for the Integration of the Argentine Health System","AR-L1358 - First Individual Operation of the Program for the Integration of the Argentine Health System","+Contribuir a la reducción de la mortalidad prematura y al cierre de brechas entre jurisdicciones argentinas en las líneas de cuidado priorizadas.","AVPP por enfermedades hipertensivas (HTA)
AVPP por cáncer cérvico uterino (CCU)
Coeficiente de variación (CV) de la distribución provincial de los AVPP por diabetes mellitus
AVPP por trastornos mentales y del comportamiento (TM)
CV de la distribución provincial de los AVPP por TM
CV de la distribución provincial de los AVPP por HTA
Años de vida potencial perdidos (AVPP) por diabetes mellitus
CV de la distribución provincial de los AVPP por causa CCU","+1. Incrementar el acceso efectivo a servicios de diagnóstico y atención por parte de la Población con Cobertura Pública Exclusiva (PCPE) en las líneas de cuidado priorizadas","+Número de jurisdicciones que tengan mecanismos de coordinación asistencial en el área de salud mental
+Porcentaje de población con DM 2 y CPE de 18 años o más que haya sido objeto de seguimiento anual
+Mujeres de 25 a 64 años con CPE que hayan recibido nuevos tamizajes para CCU según protocolo en el plazo de tres años
+Porcentaje de población con HTA y CPE de 18 años o más que haya sido objeto de seguimiento anual
+Porcentaje de población con CPE de 18 años y más con HTA que haya sido identificada
+Porcentaje de cobertura de vacunación con una dosis de vacuna contra el VPH en la población de 11 años
+Número de tratamientos de salud mental que hayan sido entregados a establecimientos de salud en donde al menos un miembro del equipo de salud haya recibido capacitación para el uso racional de psicofármacos y salud mental comunitaria
+Número de CAPS que registran de manera electrónica la dispensa nominalizada de medicamentos, interoperando con el sistema de información del MSN
+Porcentaje de población con CPE de 18 años y más con DM 2 que haya sido identificada","+Número de jurisdicciones
+%
+# of beneficiaries
+%
+%
+%
+Número de tratamientos
+Número de CAPS
+%","+Informe de REDES (GEDE)
+Sistemas de información de la Dirección Nacional de Fortalecimiento de Salud Provincial (DNNFSP) y SISA
+Sistema de información de tamizaje (SITAM)
+Sistemas de información de la Dirección Nacional de Fortalecimiento de Salud Provincial (DNNFSP) y SISA
+Means of verification: Sistemas de información de la Dirección Nacional de Fortalecimiento de Salud Provincial (DNNFSP) y SISA
+Registro Federal de Vacunación (NOMIVAC)
+Bases de REMEDIAR y Dirección de Salud Mental
+Bases de REMEDIAR
+Means of verification: Sistemas de información de la Dirección Nacional de Fortalecimiento de Salud Provincial (DNNFSP) y SISA",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"9","AR-L1366",2023,2023,NA,"AR-L1366 - NA","+Reducir los niveles de exclusión social de las PCD","Tasa de alfabetización en PCD
Tasa de empleo de las PCD","+Promover el acceso efectivo a derechos, servicios y prestaciones básicas para las PCD
+Fortalecer la capacidad de la ANDIS como órgano rector en materia de discapacidad y responsable de la transversalización de la perspectiva de discapacidad en el ámbito público y privado","+PCD que hayan accedido a al menos una prestación educativa en los últimos 12 meses
+PCD que hayan accedido a al menos una prestación de un centro terapéutico educativo en los últimos 12 meses
+PCD que hayan accedido a al menos una prestación de rehabilitación en los últimos 12 meses
+PCD que hayan accedido a al menos una prestación de un centro de día en los últimos 12 meses
+PCD que hayan accedido a al menos una prestación de hogar en los últimos 12 meses
+Días promedio requeridos para la afiliación a Incluir Salud desde que la PCD presenta la documentación
+Días promedio para tramitar la liquidación de prestadores
+Promedio mensual de visitas únicas diarias al Sistema de información geográfica del Sistema Nacional de Prestadores
+PCD que hayan obtenido por primera vez el CUD o renuevan su CUD vencido
+Trabajadores de organismos públicos nacionales, provinciales y municipales que hayan sido certificados en accesibilidad y perspectiva de discapacidad
+Promedio mensual de visitas únicas por día al repositorio de informes e investigaciones publicados por ANDIS en su página web","+Personas
+Personas
+Personas
+Personas
+Personas
+Número de días
+Número de días
+Número de visitas
+Personas
+Número de personas
+Número de visitas","+Sistema de Administración de Prestaciones por Discapacidad del Programa Incluir Salud (SAPDIS)
+Sistema de Administración de Prestaciones por Discapacidad del Programa Incluir Salud (SAPDIS)
+Sistema de Administración de Prestaciones por Discapacidad del Programa Incluir Salud (SAPDIS)
+Sistema de Administración de Prestaciones por Discapacidad del Programa Incluir Salud (SAPDIS)
+Sistema de Administración de Prestaciones por Discapacidad del Programa Incluir Salud (SAPDIS)
+Sistema de Administración de Prestaciones por Discapacidad del Programa Incluir Salud (SAPDIS)
+Sistema de Administración de Prestaciones por Discapacidad del Programa Incluir Salud (SAPDIS)
+Sitio web de ANDIS
+Registro Nacional de Personas con Discapacidad (RNPCD) 
+Certificados emitidos a través de la plataforma de capacitación
+Sitio web de ANDIS",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"10","BH-G0004",2021,2021,NA,"BH-G0004 - NA","+To support the strengthening of The Bahamas health system to meet the population’s health needs","Percentage of hypertensive patiens with blood pressure controlled
Percentage of diabetes patients with blood glucose controlled.
Rate of ambulatory care sensitive hospitalizations","+To integrate primary and secondary care services that DPH, PHA, NHIA deliver
+To increase health services efficiency
+To improve access, coverage, and quality of community, ambulatory, and hospital services through a person and community centered model of care","+Compliance rate with referrals guidelines for NCDs between primary and secondary/ tertiary care levels
+Percentage of primary health care personnel (medical doctors and nurses) trained in HEARTS protocol
+Electronic Medical Record Information System implemented in Primary Health Care Clinics operated by the Department of Public Health
+Number of partner agencies with information systems that are connected and/or integrated with health information exchange
+Data from primary health care clinics available in a central repository accessible by the Ministry of Health to support the calculation of key indicators.
+Number of beneficiaries of the digital health technology
+% of personnel trained that is certified to provide care according to protocol to gender-based violence victims
+% of victims of domestic violence receiving tele-health and in-person counseling services
+Number of beneficiaries of new and retrofitted clinics with enhanced resilience to natural hazards and climate change","+%
+%
+%
+Number
+%
+# of beneficiaries
+%
+%
+# of beneficiaries","+Electronic and paper clinical registries at primary care and hospital settings
+MoH and PHA HR Training records; NHIA Physicians provider profile
+Use and satisfaction of EHR-S Satisfaction survey
+Annual IS4H report
+Report from central repository system with names of clinics providing information
+Progress reports of the implementation of the ISH4
+implementation audits
+EHR/paper records data analysis
+Public Health and Health Care services reports and statistics of the Ministry of Health and Wellness",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
